"gene"	"adj.pval.TimePoint"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g064620"	4.2234941572515e-09	"Scaffold_03"	18345710	18548969	"A0A0R4IBK5"	"R213A_DANRE"	"E3 ubiquitin-protein ligase rnf213-alpha (EC 2.3.2.27) (EC 3.6.4.-) (Mysterin-A) (Mysterin-alpha) (RING finger protein 213-A) (RING finger protein 213-alpha) (RING-type E3 ubiquitin transferase rnf213-alpha)"	"GO:0002040; GO:0004842; GO:0005829; GO:0006511; GO:0008015; GO:0016887; GO:0046872"	"cytosol [GO:0005829]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]; blood circulation [GO:0008015]; sprouting angiogenesis [GO:0002040]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"PGEN_.00g164940"	4.2234941572515e-09	"Scaffold_07"	33397430	33397906	NA	NA	NA	NA	NA
"PGEN_.00g098990"	4.33921322705378e-09	"Scaffold_04"	53630017	53631429	NA	NA	NA	NA	NA
"PGEN_.00g193590"	4.80103471127655e-09	"Scaffold_09"	6762215	6762706	NA	NA	NA	NA	NA
"PGEN_.00g111610"	5.22624603957389e-09	"Scaffold_05"	19922464	19942605	"Q91WR3"	"ASCC2_MOUSE"	"Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100)"	"GO:0005634; GO:0006281; GO:0006355; GO:0016607; GO:0043130; GO:0099053"	"activating signal cointegrator 1 complex [GO:0099053]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; ubiquitin binding [GO:0043130]; DNA repair [GO:0006281]; regulation of transcription, DNA-templated [GO:0006355]"
"PGEN_.00g235940"	6.05888298576087e-09	"Scaffold_11"	33688830	33694844	"Q4UMH6"	"Y381_RICFE"	"Putative ankyrin repeat protein RF_0381"	"GO:0015969"	"guanosine tetraphosphate metabolic process [GO:0015969]"
"PGEN_.00g300060"	6.41780789218418e-09	"Scaffold_15"	7459230	7474370	"D8VNS7"	"FCNV1_CERRY"	"Ryncolin-1"	"GO:0005576; GO:0009405; GO:0090729"	"extracellular region [GO:0005576]; toxin activity [GO:0090729]; pathogenesis [GO:0009405]"
"PGEN_.00g097340"	6.67881712023755e-09	"Scaffold_04"	49379820	49380767	NA	NA	NA	NA	NA
"PGEN_.00g349440"	7.53709582521527e-09	"Scaffold_18"	27686936	27710873	NA	NA	NA	NA	NA
"PGEN_.00g211830"	7.54426292047659e-09	"Scaffold_10"	21025397	21043857	"P16056"	"MET_MOUSE"	"Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"	"GO:0000122; GO:0000187; GO:0001764; GO:0001886; GO:0001889; GO:0001890; GO:0004672; GO:0004713; GO:0004714; GO:0005008; GO:0005524; GO:0005615; GO:0005737; GO:0005886; GO:0005887; GO:0007169; GO:0007268; GO:0007420; GO:0007517; GO:0007519; GO:0008013; GO:0009925; GO:0010628; GO:0010629; GO:0010800; GO:0010801; GO:0010828; GO:0010976; GO:0014069; GO:0014812; GO:0014902; GO:0016020; GO:0017154; GO:0019903; GO:0030182; GO:0030317; GO:0030425; GO:0030534; GO:0031016; GO:0031116; GO:0032675; GO:0033138; GO:0035024; GO:0036126; GO:0042593; GO:0042802; GO:0043005; GO:0043025; GO:0043235; GO:0043274; GO:0043548; GO:0044877; GO:0045211; GO:0045740; GO:0045840; GO:0045944; GO:0046777; GO:0048012; GO:0048754; GO:0050775; GO:0050804; GO:0050918; GO:0051450; GO:0051497; GO:0051897; GO:0055013; GO:0060048; GO:0060076; GO:0060079; GO:0060665; GO:0061436; GO:0070495; GO:0071526; GO:0071635; GO:0072593; GO:1900407; GO:1900745; GO:1901299; GO:1905098; GO:2001028"	"basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; excitatory synapse [GO:0060076]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; receptor complex [GO:0043235]; sperm flagellum [GO:0036126]; ATP binding [GO:0005524]; beta-catenin binding [GO:0008013]; hepatocyte growth factor-activated receptor activity [GO:0005008]; identical protein binding [GO:0042802]; phosphatidylinositol 3-kinase binding [GO:0043548]; phospholipase binding [GO:0043274]; protein kinase activity [GO:0004672]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; semaphorin receptor activity [GO:0017154]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; activation of MAPK activity [GO:0000187]; adult behavior [GO:0030534]; brain development [GO:0007420]; branching morphogenesis of an epithelial tube [GO:0048754]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; chemical synaptic transmission [GO:0007268]; endothelial cell morphogenesis [GO:0001886]; establishment of skin barrier [GO:0061436]; excitatory postsynaptic potential [GO:0060079]; flagellated sperm motility [GO:0030317]; glucose homeostasis [GO:0042593]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; liver development [GO:0001889]; modulation of chemical synaptic transmission [GO:0050804]; muscle cell migration [GO:0014812]; muscle organ development [GO:0007517]; myoblast proliferation [GO:0051450]; myotube differentiation [GO:0014902]; negative regulation of gene expression [GO:0010629]; negative regulation of guanyl-nucleotide exchange factor activity [GO:1905098]; negative regulation of hydrogen peroxide-mediated programmed cell death [GO:1901299]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of stress fiber assembly [GO:0051497]; negative regulation of thrombin-activated receptor signaling pathway [GO:0070495]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta production [GO:0071635]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; pancreas development [GO:0031016]; placenta development [GO:0001890]; positive chemotaxis [GO:0050918]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of DNA replication [GO:0045740]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of gene expression [GO:0010628]; positive regulation of glucose transmembrane transport [GO:0010828]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of neuron projection development [GO:0010976]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein autophosphorylation [GO:0046777]; reactive oxygen species metabolic process [GO:0072593]; regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling [GO:0060665]; regulation of cellular response to oxidative stress [GO:1900407]; regulation of interleukin-6 production [GO:0032675]; semaphorin-plexin signaling pathway [GO:0071526]; skeletal muscle tissue development [GO:0007519]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]"
"PGEN_.00g206240"	8.811312707021e-09	"Scaffold_10"	5646436	5675953	"J9VY90"	"LAC1_CRYNH"	"Laccase-1 (EC 1.10.3.2) (Diphenol oxidase 1)"	"GO:0005507; GO:0005576; GO:0005618; GO:0052716"	"cell wall [GO:0005618]; extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]"
"PGEN_.00g173150"	9.84399473470227e-09	"Scaffold_08"	14196292	14207757	NA	NA	NA	NA	NA
"PGEN_.00g080210"	9.85324422401424e-09	"Scaffold_04"	4378335	4411462	"Q9CQN1"	"TRAP1_MOUSE"	"Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)"	"GO:0003723; GO:0005524; GO:0005654; GO:0005739; GO:0005743; GO:0005758; GO:0005759; GO:0006457; GO:0009386; GO:0019901; GO:0051082; GO:1901856; GO:1903751"	"mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; negative regulation of cellular respiration [GO:1901856]; negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide [GO:1903751]; protein folding [GO:0006457]; translational attenuation [GO:0009386]"
"PGEN_.00g245230"	1.03326955905111e-08	"Scaffold_12"	7439124	7439684	NA	NA	NA	NA	NA
"PGEN_.00g027530"	1.04324228904703e-08	"Scaffold_01"	76374378	76382260	NA	NA	NA	NA	NA
"PGEN_.00g278340"	1.3103249299231e-08	"Scaffold_14"	5558543	5560246	NA	NA	NA	NA	NA
"PGEN_.00g315900"	1.34304569520357e-08	"Scaffold_16"	292	512	NA	NA	NA	NA	NA
"PGEN_.00g236020"	1.36905769199651e-08	"Scaffold_11"	33816919	33839900	"Q9C6W5"	"AB14G_ARATH"	"ABC transporter G family member 14 (ABC transporter ABCG.14) (AtABCG14) (White-brown complex homolog protein 14) (AtWBC14)"	"GO:0005524; GO:0005886; GO:0010222; GO:0010588; GO:0016021; GO:0016887; GO:0042626; GO:0055085"	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; cotyledon vascular tissue pattern formation [GO:0010588]; stem vascular tissue pattern formation [GO:0010222]; transmembrane transport [GO:0055085]"
"PGEN_.00g299380"	1.56948129146674e-08	"Scaffold_15"	6117129	6186123	"C0HL13"	"LRP2_PIG"	"Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)"	"GO:0001702; GO:0001843; GO:0002076; GO:0003139; GO:0003148; GO:0003223; GO:0005509; GO:0005886; GO:0005905; GO:0006898; GO:0007605; GO:0008144; GO:0008584; GO:0009897; GO:0009952; GO:0016021; GO:0016324; GO:0017124; GO:0017147; GO:0030001; GO:0030424; GO:0030425; GO:0030514; GO:0031526; GO:0031904; GO:0042632; GO:0042813; GO:0043235; GO:0045944; GO:0046849; GO:0048539; GO:0050769; GO:0051087; GO:0060068; GO:0060070; GO:0060349; GO:0060444; GO:0060612; GO:0060982; GO:0061156; GO:0061178; GO:0061304; GO:0070447; GO:0140058; GO:1904447; GO:1905167"	"apical plasma membrane [GO:0016324]; axon [GO:0030424]; brush border membrane [GO:0031526]; clathrin-coated pit [GO:0005905]; dendrite [GO:0030425]; endosome lumen [GO:0031904]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; calcium ion binding [GO:0005509]; chaperone binding [GO:0051087]; drug binding [GO:0008144]; SH3 domain binding [GO:0017124]; Wnt-activated receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]; adipose tissue development [GO:0060612]; anterior/posterior pattern specification [GO:0009952]; bone marrow development [GO:0048539]; bone morphogenesis [GO:0060349]; bone remodeling [GO:0046849]; branching involved in mammary gland duct morphogenesis [GO:0060444]; canonical Wnt signaling pathway [GO:0060070]; cholesterol homeostasis [GO:0042632]; coronary artery morphogenesis [GO:0060982]; folate import across plasma membrane [GO:1904447]; gastrulation with mouth forming second [GO:0001702]; male gonad development [GO:0008584]; metal ion transport [GO:0030001]; negative regulation of BMP signaling pathway [GO:0030514]; neural tube closure [GO:0001843]; neuron projection arborization [GO:0140058]; osteoblast development [GO:0002076]; outflow tract septum morphogenesis [GO:0003148]; positive regulation of lysosomal protein catabolic process [GO:1905167]; positive regulation of neurogenesis [GO:0050769]; positive regulation of oligodendrocyte progenitor proliferation [GO:0070447]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pulmonary artery morphogenesis [GO:0061156]; receptor-mediated endocytosis [GO:0006898]; regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061178]; retinal blood vessel morphogenesis [GO:0061304]; secondary heart field specification [GO:0003139]; sensory perception of sound [GO:0007605]; vagina development [GO:0060068]; ventricular compact myocardium morphogenesis [GO:0003223]"
"PGEN_.00g013990"	1.67273298112357e-08	"Scaffold_01"	36266074	36337869	"A2AVA0"	"SVEP1_MOUSE"	"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)"	"GO:0003682; GO:0005509; GO:0005576; GO:0005615; GO:0005737; GO:0007155; GO:0016020"	"cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; cell adhesion [GO:0007155]"
"PGEN_.00g254310"	1.70310992968272e-08	"Scaffold_12"	35497998	35536495	"Q8C261"	"NCKX5_MOUSE"	"Sodium/potassium/calcium exchanger 5 (Na(+)/K(+)/Ca(2+)-exchange protein 5) (Solute carrier family 24 member 5)"	"GO:0005262; GO:0005623; GO:0005802; GO:0006874; GO:0008273; GO:0015293; GO:0016021; GO:0030318; GO:0034220; GO:0042470; GO:0048022; GO:0050896; GO:0070588"	"cell [GO:0005623]; integral component of membrane [GO:0016021]; melanosome [GO:0042470]; trans-Golgi network [GO:0005802]; calcium channel activity [GO:0005262]; calcium, potassium:sodium antiporter activity [GO:0008273]; symporter activity [GO:0015293]; calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]; ion transmembrane transport [GO:0034220]; melanocyte differentiation [GO:0030318]; negative regulation of melanin biosynthetic process [GO:0048022]; response to stimulus [GO:0050896]"
"PGEN_.00g282680"	1.70310992968272e-08	"Scaffold_14"	15545227	15545997	NA	NA	NA	NA	NA
"PGEN_.00g191480"	1.89163027667312e-08	"Scaffold_09"	1255235	1309042	"Q91YK0"	"LRC49_MOUSE"	"Leucine-rich repeat-containing protein 49 (Tubulin polyglutamylase complex subunit 4) (PGs4) (p79)"	"GO:0005737; GO:0005829; GO:0005874; GO:0018095; GO:0036158"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule [GO:0005874]; outer dynein arm assembly [GO:0036158]; protein polyglutamylation [GO:0018095]"
"PGEN_.00g123920"	2.64858691647957e-08	"Scaffold_05"	54424415	54448483	NA	NA	NA	NA	NA
"PGEN_.00g282790"	2.86363288812923e-08	"Scaffold_14"	15696568	15803149	"E9Q309"	"CE350_MOUSE"	"Centrosome-associated protein 350 (Cep350)"	"GO:0005634; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0008017; GO:0034453; GO:0042995"	"cell projection [GO:0042995]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]; microtubule binding [GO:0008017]; microtubule anchoring [GO:0034453]"
"PGEN_.00g247270"	2.90515266884411e-08	"Scaffold_12"	12894966	12917488	"P49580"	"ACHE_XENLA"	"Acetylcholine receptor subunit epsilon"	"GO:0004888; GO:0016021; GO:0022848; GO:0030054; GO:0045211"	"cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; acetylcholine-gated cation-selective channel activity [GO:0022848]; transmembrane signaling receptor activity [GO:0004888]"
"PGEN_.00g286080"	3.35715866420233e-08	"Scaffold_14"	24120924	24142993	NA	NA	NA	NA	NA
"PGEN_.00g279710"	3.46984907391963e-08	"Scaffold_14"	8544876	8566105	NA	NA	NA	NA	NA
"PGEN_.00g135810"	3.80346541783666e-08	"Scaffold_06"	17039205	17041620	NA	NA	NA	NA	NA
"PGEN_.00g066220"	4.46312165256426e-08	"Scaffold_03"	23350020	23351543	NA	NA	NA	NA	NA
"PGEN_.00g170010"	4.50334911254929e-08	"Scaffold_08"	5050520	5055437	NA	NA	NA	NA	NA
"PGEN_.00g051050"	5.03466514759917e-08	"Scaffold_02"	49847750	49852062	NA	NA	NA	NA	NA
"PGEN_.00g278840"	5.21493024132157e-08	"Scaffold_14"	6540467	6541139	NA	NA	NA	NA	NA
"PGEN_.00g009320"	6.20628181400053e-08	"Scaffold_01"	24301248	24318845	"Q6INU7"	"FRRS1_XENLA"	"Putative ferric-chelate reductase 1 (EC 1.-.-.-)"	"GO:0016021; GO:0016491"	"integral component of membrane [GO:0016021]; oxidoreductase activity [GO:0016491]"
"PGEN_.00g185140"	6.54744151030912e-08	"Scaffold_08"	45059602	45075597	NA	NA	NA	NA	NA
"PGEN_.00g203280"	6.86687651463521e-08	"Scaffold_09"	35977769	36019180	NA	NA	NA	NA	NA
"PGEN_.00g279430"	7.35581654638092e-08	"Scaffold_14"	7687420	7753254	"A8Q2D1"	"NAS35_BRUMA"	"Zinc metalloproteinase dpy-31 (EC 3.4.24.-) (Nematode astacin 35) (Procollagen C-proteinase)"	"GO:0004222; GO:0005576; GO:0008270; GO:0042338"	"extracellular region [GO:0005576]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cuticle development involved in collagen and cuticulin-based cuticle molting cycle [GO:0042338]"
"PGEN_.00g067300"	7.39053915338247e-08	"Scaffold_03"	25996083	26025415	"Q8TCG1"	"CIP2A_HUMAN"	"Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)"	"GO:0005737; GO:0005829; GO:0005886; GO:0007283; GO:0016021; GO:0042803; GO:0045296; GO:2000179"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cadherin binding [GO:0045296]; protein homodimerization activity [GO:0042803]; positive regulation of neural precursor cell proliferation [GO:2000179]; spermatogenesis [GO:0007283]"
"PGEN_.00g278430"	7.68858883397513e-08	"Scaffold_14"	5587776	5589550	NA	NA	NA	NA	NA
"PGEN_.00g285330"	8.12438488851677e-08	"Scaffold_14"	22480283	22493744	NA	NA	NA	NA	NA
"PGEN_.00g190430"	8.77629333861881e-08	"Scaffold_08"	59613122	59676228	"O75096"	"LRP4_HUMAN"	"Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"	"GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0016021; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0051290; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395"	"cell surface [GO:0009986]; dendrite [GO:0030425]; integral component of membrane [GO:0016021]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]; synaptic membrane [GO:0097060]; apolipoprotein binding [GO:0034185]; calcium ion binding [GO:0005509]; protein homodimerization activity [GO:0042803]; receptor tyrosine kinase binding [GO:0030971]; scaffold protein binding [GO:0097110]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; dendrite morphogenesis [GO:0048813]; dorsal/ventral pattern formation [GO:0009953]; embryonic digit morphogenesis [GO:0042733]; endocytosis [GO:0006897]; hair follicle development [GO:0001942]; kidney development [GO:0001822]; limb development [GO:0060173]; negative regulation of axonogenesis [GO:0050771]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of ossification [GO:0030279]; odontogenesis of dentin-containing tooth [GO:0042475]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of presynaptic membrane organization [GO:1901631]; positive regulation of skeletal muscle acetylcholine-gated channel clustering [GO:1904395]; postsynaptic membrane assembly [GO:0097104]; presynaptic membrane assembly [GO:0097105]; protein heterotetramerization [GO:0051290]; proximal/distal pattern formation [GO:0009954]; skeletal muscle acetylcholine-gated channel clustering [GO:0071340]; synapse organization [GO:0050808]; synaptic growth at neuromuscular junction [GO:0051124]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g238720"	8.87165780199763e-08	"Scaffold_11"	41761545	41763757	NA	NA	NA	NA	NA
"PGEN_.00g112130"	9.20902426905878e-08	"Scaffold_05"	21399886	21401034	NA	NA	NA	NA	NA
"PGEN_.00g316180"	1.02446361451627e-07	"Scaffold_16"	830367	841125	NA	NA	NA	NA	NA
"PGEN_.00g108490"	1.02735049287549e-07	"Scaffold_05"	11321164	11322981	NA	NA	NA	NA	NA
"PGEN_.00g207510"	1.03879241235979e-07	"Scaffold_10"	9195629	9206699	NA	NA	NA	NA	NA
"PGEN_.00g310520"	1.09783184453144e-07	"Scaffold_15"	34581787	34614741	NA	NA	NA	NA	NA
"PGEN_.00g328130"	1.24718519803448e-07	"Scaffold_17"	1845177	1986168	NA	NA	NA	NA	NA
"PGEN_.00g066600"	1.29754771611876e-07	"Scaffold_03"	24395224	24402262	NA	NA	NA	NA	NA
"PGEN_.00g248550"	1.53457732374844e-07	"Scaffold_12"	16091778	16103626	NA	NA	NA	NA	NA
"PGEN_.00g242100"	1.568215699075e-07	"Scaffold_11"	50731005	50770396	"Q5JSL3"	"DOC11_HUMAN"	"Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2)"	"GO:0001782; GO:0002315; GO:0005085; GO:0005089; GO:0005829; GO:0007264; GO:0007596; GO:0043547; GO:0051491"	"cytosol [GO:0005829]; guanyl-nucleotide exchange factor activity [GO:0005085]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; B cell homeostasis [GO:0001782]; blood coagulation [GO:0007596]; marginal zone B cell differentiation [GO:0002315]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of GTPase activity [GO:0043547]; small GTPase mediated signal transduction [GO:0007264]"
"PGEN_.00g336040"	1.58198905416732e-07	"Scaffold_17"	26809399	26813144	NA	NA	NA	NA	NA
"PGEN_.00g068680"	1.90593714628864e-07	"Scaffold_03"	29458858	29464104	NA	NA	NA	NA	NA
"PGEN_.00g086400"	1.90593714628864e-07	"Scaffold_04"	19980742	19999126	"A2AKK5"	"ACNT1_MOUSE"	"Acyl-coenzyme A amino acid N-acyltransferase 1 (EC 2.3.1.-)"	"GO:0005777; GO:0006631; GO:0006637; GO:0016410; GO:0047617"	"peroxisome [GO:0005777]; acyl-CoA hydrolase activity [GO:0047617]; N-acyltransferase activity [GO:0016410]; acyl-CoA metabolic process [GO:0006637]; fatty acid metabolic process [GO:0006631]"
"PGEN_.00g276130"	1.95046592667555e-07	"Scaffold_14"	694621	759919	"Q0P4M4"	"CBPC2_XENTR"	"Cytosolic carboxypeptidase 2 (EC 3.4.17.-) (ATP/GTP-binding protein-like 2)"	"GO:0004181; GO:0005814; GO:0005829; GO:0008270; GO:0035610; GO:0036064"	"centriole [GO:0005814]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; protein side chain deglutamylation [GO:0035610]"
"PGEN_.00g338720"	2.29496384477182e-07	"Scaffold_17"	33504439	33537774	"P10076"	"ZFP26_MOUSE"	"Zinc finger protein 26 (Zfp-26) (Protein mKR3)"	"GO:0003677; GO:0005634; GO:0006355; GO:0046872"	"nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; regulation of transcription, DNA-templated [GO:0006355]"
"PGEN_.00g252880"	2.55092025933038e-07	"Scaffold_12"	31035393	31048475	NA	NA	NA	NA	NA
"PGEN_.00g291480"	2.68754701525482e-07	"Scaffold_14"	34999334	35002820	NA	NA	NA	NA	NA
"PGEN_.00g203950"	2.77310164852127e-07	"Scaffold_09"	37624601	37626259	NA	NA	NA	NA	NA
"PGEN_.00g010970"	2.87375493705113e-07	"Scaffold_01"	28799007	28814917	NA	NA	NA	NA	NA
"PGEN_.00g220380"	2.95408925107218e-07	"Scaffold_10"	42739240	42908587	"Q9UHD2"	"TBK1_HUMAN"	"Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)"	"GO:0003676; GO:0004672; GO:0004674; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0006468; GO:0006954; GO:0007249; GO:0009615; GO:0010008; GO:0010629; GO:0016032; GO:0016239; GO:0018105; GO:0018107; GO:0019903; GO:0032479; GO:0032480; GO:0032481; GO:0032606; GO:0032727; GO:0032728; GO:0033138; GO:0035666; GO:0042802; GO:0043123; GO:0043231; GO:0044565; GO:0045087; GO:0045359; GO:0045944; GO:0050830; GO:0051219; GO:0051607; GO:0060340; GO:0071345; GO:1901214; GO:1904417"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; phosphoprotein binding [GO:0051219]; protein kinase activity [GO:0004672]; protein phosphatase binding [GO:0019903]; protein serine/threonine kinase activity [GO:0004674]; cellular response to cytokine stimulus [GO:0071345]; defense response to Gram-positive bacterium [GO:0050830]; defense response to virus [GO:0051607]; dendritic cell proliferation [GO:0044565]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; negative regulation of type I interferon production [GO:0032480]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta biosynthetic process [GO:0045359]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of macroautophagy [GO:0016239]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; positive regulation of xenophagy [GO:1904417]; protein phosphorylation [GO:0006468]; regulation of neuron death [GO:1901214]; regulation of type I interferon production [GO:0032479]; response to virus [GO:0009615]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]; type I interferon production [GO:0032606]; viral process [GO:0016032]"
"PGEN_.00g277700"	3.17831021221558e-07	"Scaffold_14"	4004597	4007359	NA	NA	NA	NA	NA
"PGEN_.00g139540"	3.21473996114789e-07	"Scaffold_06"	25730920	25732298	NA	NA	NA	NA	NA
"PGEN_.00g150340"	3.31185444791499e-07	"Scaffold_06"	55156677	55164340	"Q9C0G6"	"DYH6_HUMAN"	"Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)"	"GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959"	"cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule-based movement [GO:0007018]"
