"gene"	"adj.pval.treatment"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g299150"	8.32722237369182e-06	"Scaffold_15"	5534945	5544021	NA	NA	NA	NA	NA
"PGEN_.00g240010"	8.58355961949572e-06	"Scaffold_11"	45152791	45162406	NA	NA	NA	NA	NA
"PGEN_.00g198300"	8.85657731320177e-06	"Scaffold_09"	21135471	21140973	NA	NA	NA	NA	NA
"PGEN_.00g012020"	9.47349069643531e-06	"Scaffold_01"	31157616	31164852	NA	NA	NA	NA	NA
"PGEN_.00g110040"	1.25454200271089e-05	"Scaffold_05"	15239795	15283665	NA	NA	NA	NA	NA
"PGEN_.00g221600"	1.25896565384556e-05	"Scaffold_10"	45523642	45594212	"W0LYS5"	"CAMKI_MACNP"	"Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (MnCaMKI)"	"GO:0004683; GO:0005516; GO:0005524; GO:0006468; GO:0022404"	"ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; molting cycle process [GO:0022404]; protein phosphorylation [GO:0006468]"
"PGEN_.00g100210"	1.27426642140467e-05	"Scaffold_04"	56299786	56323141	NA	NA	NA	NA	NA
"PGEN_.00g291470"	1.27918415199788e-05	"Scaffold_14"	34995975	34996331	NA	NA	NA	NA	NA
"PGEN_.00g060650"	1.38061301977697e-05	"Scaffold_03"	7784226	7844346	"Q5THR3"	"EFCB6_HUMAN"	"EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP)"	"GO:0005509; GO:0005654"	"nucleoplasm [GO:0005654]; calcium ion binding [GO:0005509]"
"PGEN_.00g017280"	1.44031467882792e-05	"Scaffold_01"	46744784	46747680	NA	NA	NA	NA	NA
"PGEN_.00g284780"	1.44031467882792e-05	"Scaffold_14"	21103586	21136085	"P45448"	"NR5A2_MOUSE"	"Nuclear receptor subfamily 5 group A member 2 (Liver receptor homolog 1) (LRH-1)"	"GO:0000976; GO:0000978; GO:0001228; GO:0003677; GO:0003682; GO:0003690; GO:0003700; GO:0003707; GO:0004879; GO:0005543; GO:0005634; GO:0005737; GO:0005829; GO:0006355; GO:0008206; GO:0008270; GO:0009755; GO:0009888; GO:0030855; GO:0031018; GO:0042127; GO:0042632; GO:0043565; GO:0044212; GO:0045070; GO:0045893; GO:0045944; GO:0061113; GO:0090575; GO:0097720; GO:1990830"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; nuclear receptor activity [GO:0004879]; phospholipid binding [GO:0005543]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; steroid hormone receptor activity [GO:0003707]; transcription regulatory region DNA binding [GO:0044212]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]; bile acid metabolic process [GO:0008206]; calcineurin-mediated signaling [GO:0097720]; cellular response to leukemia inhibitory factor [GO:1990830]; cholesterol homeostasis [GO:0042632]; endocrine pancreas development [GO:0031018]; epithelial cell differentiation [GO:0030855]; hormone-mediated signaling pathway [GO:0009755]; pancreas morphogenesis [GO:0061113]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of viral genome replication [GO:0045070]; regulation of cell population proliferation [GO:0042127]; regulation of transcription, DNA-templated [GO:0006355]; tissue development [GO:0009888]"
"PGEN_.00g284080"	1.536948767529e-05	"Scaffold_14"	19164984	19167683	NA	NA	NA	NA	NA
"PGEN_.00g056380"	1.55697878925358e-05	"Scaffold_02"	65144099	65178970	"Q8C428"	"TMC7_MOUSE"	"Transmembrane channel-like protein 7"	"GO:0005216; GO:0005887; GO:0008381"	"integral component of plasma membrane [GO:0005887]; ion channel activity [GO:0005216]; mechanosensitive ion channel activity [GO:0008381]"
"PGEN_.00g337830"	1.58629387570592e-05	"Scaffold_17"	31545329	31552546	NA	NA	NA	NA	NA
"PGEN_.00g018310"	1.64830249254586e-05	"Scaffold_01"	49450969	49487609	NA	NA	NA	NA	NA
"PGEN_.00g128250"	1.74656759108554e-05	"Scaffold_05"	65605215	65610208	"B0BN95"	"HARB1_RAT"	"Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)"	"GO:0004518; GO:0005634; GO:0005737; GO:0046872"	"cytoplasm [GO:0005737]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; nuclease activity [GO:0004518]"
"PGEN_.00g018260"	1.81227661725343e-05	"Scaffold_01"	49403844	49410690	NA	NA	NA	NA	NA
"PGEN_.00g277360"	2.17090970391229e-05	"Scaffold_14"	3377810	3378106	NA	NA	NA	NA	NA
"PGEN_.00g113810"	2.36170343129514e-05	"Scaffold_05"	26361536	26362252	NA	NA	NA	NA	NA
"PGEN_.00g290440"	2.3861044658825e-05	"Scaffold_14"	32730787	32752148	"Q91V41"	"RAB14_MOUSE"	"Ras-related protein Rab-14"	"GO:0000139; GO:0003924; GO:0005525; GO:0005764; GO:0005769; GO:0005770; GO:0005791; GO:0005795; GO:0005802; GO:0005829; GO:0005886; GO:0006886; GO:0006895; GO:0007589; GO:0008543; GO:0016324; GO:0019003; GO:0030133; GO:0030140; GO:0030659; GO:0031489; GO:0031901; GO:0032456; GO:0032482; GO:0032880; GO:0042175; GO:0042742; GO:0043231; GO:0045176; GO:0045335; GO:0045995; GO:0048471; GO:0055037; GO:0090387; GO:0097208; GO:0098993"	"alveolar lamellar body [GO:0097208]; anchored component of synaptic vesicle membrane [GO:0098993]; apical plasma membrane [GO:0016324]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; lysosome [GO:0005764]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; rough endoplasmic reticulum [GO:0005791]; trans-Golgi network [GO:0005802]; trans-Golgi network transport vesicle [GO:0030140]; transport vesicle [GO:0030133]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin V binding [GO:0031489]; apical protein localization [GO:0045176]; body fluid secretion [GO:0007589]; defense response to bacterium [GO:0042742]; endocytic recycling [GO:0032456]; fibroblast growth factor receptor signaling pathway [GO:0008543]; Golgi to endosome transport [GO:0006895]; intracellular protein transport [GO:0006886]; phagolysosome assembly involved in apoptotic cell clearance [GO:0090387]; Rab protein signal transduction [GO:0032482]; regulation of embryonic development [GO:0045995]; regulation of protein localization [GO:0032880]"
"PGEN_.00g284710"	2.57533345353418e-05	"Scaffold_14"	20971964	20979053	NA	NA	NA	NA	NA
"PGEN_.00g034500"	2.64063256239525e-05	"Scaffold_02"	4049426	4050256	NA	NA	NA	NA	NA
"PGEN_.00g042060"	2.66732404816383e-05	"Scaffold_02"	24866494	24888516	"P51049"	"MR1BB_DANRE"	"Melatonin receptor type 1B-B (Mel-1B-R-B) (Mel1b receptor B) (Melatonin receptor Mel1b Z2.6-4) (zMel1b-1)"	"GO:0004930; GO:0005886; GO:0008502; GO:0016021; GO:0048511"	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]; rhythmic process [GO:0048511]"
"PGEN_.00g067300"	2.78470991330057e-05	"Scaffold_03"	25996083	26025415	"Q8TCG1"	"CIP2A_HUMAN"	"Protein CIP2A (Cancerous inhibitor of PP2A) (p90 autoantigen)"	"GO:0005737; GO:0005829; GO:0005886; GO:0007283; GO:0016021; GO:0042803; GO:0045296; GO:2000179"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cadherin binding [GO:0045296]; protein homodimerization activity [GO:0042803]; positive regulation of neural precursor cell proliferation [GO:2000179]; spermatogenesis [GO:0007283]"
"PGEN_.00g289090"	2.7942671696201e-05	"Scaffold_14"	29650979	29662232	"E9Q5G3"	"KIF23_MOUSE"	"Kinesin-like protein KIF23"	"GO:0000281; GO:0000915; GO:0003777; GO:0005524; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0030496; GO:0032467; GO:0045171; GO:0051256; GO:0072383; GO:0072686; GO:0090543; GO:0097149"	"cell [GO:0005623]; centralspindlin complex [GO:0097149]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; Flemming body [GO:0090543]; intercellular bridge [GO:0045171]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; actomyosin contractile ring assembly [GO:0000915]; microtubule-based movement [GO:0007018]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of cytokinesis [GO:0032467]"
"PGEN_.00g282450"	2.7985295150927e-05	"Scaffold_14"	15054143	15088020	NA	NA	NA	NA	NA
"PGEN_.00g198310"	3.18545366279307e-05	"Scaffold_09"	21146354	21172791	"Q9NZJ4"	"SACS_HUMAN"	"Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)"	"GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0051087; GO:0070628; GO:0070852; GO:0090084"	"axon [GO:0030424]; cell body fiber [GO:0070852]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; proteasome binding [GO:0070628]; negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]"
"PGEN_.00g220560"	3.27752603346922e-05	"Scaffold_10"	43341952	43342467	NA	NA	NA	NA	NA
"PGEN_.00g063940"	3.38084102426003e-05	"Scaffold_03"	16361344	16385895	"F1QFU0"	"TMC1_DANRE"	"Transmembrane channel-like protein 1"	"GO:0005216; GO:0005887; GO:0008381; GO:0032421; GO:0050910"	"integral component of plasma membrane [GO:0005887]; stereocilium bundle [GO:0032421]; ion channel activity [GO:0005216]; mechanosensitive ion channel activity [GO:0008381]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]"
"PGEN_.00g080550"	3.78104293821066e-05	"Scaffold_04"	5220253	5228840	NA	NA	NA	NA	NA
"PGEN_.00g340240"	3.81424150712008e-05	"Scaffold_18"	3671313	3676383	NA	NA	NA	NA	NA
"PGEN_.00g130130"	3.94228015315019e-05	"Scaffold_06"	3135394	3166577	"Q7X8C5"	"WAKLB_ARATH"	"Wall-associated receptor kinase-like 2 (EC 2.7.11.-)"	"GO:0004674; GO:0005509; GO:0005524; GO:0005886; GO:0009505; GO:0016021; GO:0030247; GO:0046777"	"integral component of membrane [GO:0016021]; plant-type cell wall [GO:0009505]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; polysaccharide binding [GO:0030247]; protein serine/threonine kinase activity [GO:0004674]; protein autophosphorylation [GO:0046777]"
"PGEN_.00g169790"	3.94228015315019e-05	"Scaffold_08"	4120211	4182838	NA	NA	NA	NA	NA
"PGEN_.00g328690"	3.95848137149553e-05	"Scaffold_17"	4150317	4187243	"O95864"	"FADS2_HUMAN"	"Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)"	"GO:0004768; GO:0005789; GO:0005887; GO:0006636; GO:0016020; GO:0016213; GO:0036109; GO:0043651"	"endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; linoleoyl-CoA desaturase activity [GO:0016213]; stearoyl-CoA 9-desaturase activity [GO:0004768]; alpha-linolenic acid metabolic process [GO:0036109]; linoleic acid metabolic process [GO:0043651]; unsaturated fatty acid biosynthetic process [GO:0006636]"
"PGEN_.00g062060"	4.01310783458217e-05	"Scaffold_03"	11569678	11589860	NA	NA	NA	NA	NA
"PGEN_.00g081910"	4.10749189891371e-05	"Scaffold_04"	8837223	8848736	NA	NA	NA	NA	NA
"PGEN_.00g254640"	4.33094064894631e-05	"Scaffold_12"	36667135	36667713	NA	NA	NA	NA	NA
"PGEN_.00g316050"	4.33094064894631e-05	"Scaffold_16"	459215	459469	NA	NA	NA	NA	NA
"PGEN_.00g110260"	4.45129298422781e-05	"Scaffold_05"	15669855	15764255	"Q39565"	"DYHB_CHLRE"	"Dynein beta chain, flagellar outer arm"	"GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0030030; GO:0030286; GO:0031514"	"cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP binding [GO:0005524]; microtubule motor activity [GO:0003777]; cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]"
"PGEN_.00g206810"	4.53719813512046e-05	"Scaffold_10"	7584310	7700085	"Q8BW94"	"DYH3_MOUSE"	"Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (Ciliary dynein heavy chain 3)"	"GO:0003341; GO:0005524; GO:0005874; GO:0007018; GO:0008569; GO:0030286; GO:0036156; GO:0045505; GO:0051959"	"dynein complex [GO:0030286]; inner dynein arm [GO:0036156]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; cilium movement [GO:0003341]; microtubule-based movement [GO:0007018]"
"PGEN_.00g100950"	4.66179925749493e-05	"Scaffold_04"	57885900	57886430	NA	NA	NA	NA	NA
"PGEN_.00g310520"	4.88600908056966e-05	"Scaffold_15"	34581787	34614741	NA	NA	NA	NA	NA
"PGEN_.00g231140"	4.89120168817021e-05	"Scaffold_11"	20122964	20155977	NA	NA	NA	NA	NA
"PGEN_.00g059600"	5.05342457135419e-05	"Scaffold_03"	4528645	4613607	"O95490"	"AGRL2_HUMAN"	"Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1)"	"GO:0004930; GO:0005887; GO:0007166; GO:0007186; GO:0007189; GO:0007420; GO:0016021; GO:0016524; GO:0030246; GO:0043005"	"integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; neuron projection [GO:0043005]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; latrotoxin receptor activity [GO:0016524]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; brain development [GO:0007420]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled receptor signaling pathway [GO:0007186]"
"PGEN_.00g139610"	5.10063781730483e-05	"Scaffold_06"	26155545	26189403	NA	NA	NA	NA	NA
"PGEN_.00g055660"	5.20197222321203e-05	"Scaffold_02"	62621543	62625489	NA	NA	NA	NA	NA
"PGEN_.00g249400"	5.23795558305083e-05	"Scaffold_12"	19371361	19377021	NA	NA	NA	NA	NA
"PGEN_.00g258480"	5.41370709146631e-05	"Scaffold_12"	47715815	47726768	"Q8IXQ6"	"PARP9_HUMAN"	"Protein mono-ADP-ribosyltransferase PARP9 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 9) (ARTD9) (B aggressive lymphoma protein) (Poly [ADP-ribose] polymerase 9) (PARP-9)"	"GO:0000122; GO:0002230; GO:0003714; GO:0003950; GO:0004857; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0006302; GO:0006471; GO:0010608; GO:0010629; GO:0016020; GO:0016477; GO:0019899; GO:0032991; GO:0034356; GO:0035563; GO:0042393; GO:0042531; GO:0043086; GO:0044389; GO:0045087; GO:0045893; GO:0051607; GO:0060330; GO:0060335; GO:0072570; GO:0090734; GO:0097677; GO:1900182; GO:2001034"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; site of DNA damage [GO:0090734]; ADP-D-ribose binding [GO:0072570]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; histone binding [GO:0042393]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; STAT family protein binding [GO:0097677]; transcription corepressor activity [GO:0003714]; ubiquitin-like protein ligase binding [GO:0044389]; cell migration [GO:0016477]; defense response to virus [GO:0051607]; double-strand break repair [GO:0006302]; innate immune response [GO:0045087]; NAD biosynthesis via nicotinamide riboside salvage pathway [GO:0034356]; negative regulation of catalytic activity [GO:0043086]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chromatin binding [GO:0035563]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of interferon-gamma-mediated signaling pathway [GO:0060335]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; posttranscriptional regulation of gene expression [GO:0010608]; protein ADP-ribosylation [GO:0006471]; regulation of response to interferon-gamma [GO:0060330]"
"PGEN_.00g081000"	5.7334120948684e-05	"Scaffold_04"	6562308	6600640	"Q27802"	"DYHC2_TRIGR"	"Cytoplasmic dynein 2 heavy chain 1 (Dynein heavy chain isotype 1B)"	"GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005886; GO:0005929; GO:0007018; GO:0007275; GO:0030030; GO:0030286"	"cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; microtubule motor activity [GO:0003777]; cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]; multicellular organism development [GO:0007275]"
"PGEN_.00g013500"	5.99835655625354e-05	"Scaffold_01"	34979674	34979910	NA	NA	NA	NA	NA
"PGEN_.00g247180"	6.02454813383782e-05	"Scaffold_12"	12653927	12656153	NA	NA	NA	NA	NA
"PGEN_.00g104420"	6.09506459953746e-05	"Scaffold_05"	1878651	1887662	NA	NA	NA	NA	NA
"PGEN_.00g027240"	6.09898345073108e-05	"Scaffold_01"	75571967	75580536	NA	NA	NA	NA	NA
"PGEN_.00g144390"	6.23117102742089e-05	"Scaffold_06"	39385314	39394680	NA	NA	NA	NA	NA
"PGEN_.00g004050"	6.53529362366052e-05	"Scaffold_01"	10547793	10624191	NA	NA	NA	NA	NA
"PGEN_.00g062900"	6.86679690150135e-05	"Scaffold_03"	13950277	13996316	NA	NA	NA	NA	NA
"PGEN_.00g010450"	6.99654298291876e-05	"Scaffold_01"	27614094	27617495	NA	NA	NA	NA	NA
"PGEN_.00g134810"	7.27375316198293e-05	"Scaffold_06"	14374044	14397031	"P18887"	"XRCC1_HUMAN"	"DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)"	"GO:0000012; GO:0000724; GO:0000784; GO:0000790; GO:0001666; GO:0005634; GO:0005654; GO:0005730; GO:0006283; GO:0006284; GO:0006288; GO:0006297; GO:0006303; GO:0010033; GO:0010836; GO:0019899; GO:0021587; GO:0021766; GO:0032356; GO:0033194; GO:0042493; GO:0050882; GO:0061819; GO:0070522; GO:1903518; GO:1904877; GO:1905765; GO:1990414; GO:1990599"	"ERCC4-ERCC1 complex [GO:0070522]; nuclear chromatin [GO:0000790]; nuclear chromosome, telomeric region [GO:0000784]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 3' overhang single-stranded DNA endodeoxyribonuclease activity [GO:1990599]; enzyme binding [GO:0019899]; oxidized DNA binding [GO:0032356]; base-excision repair [GO:0006284]; base-excision repair, DNA ligation [GO:0006288]; cerebellum morphogenesis [GO:0021587]; double-strand break repair via homologous recombination [GO:0000724]; double-strand break repair via nonhomologous end joining [GO:0006303]; hippocampus development [GO:0021766]; negative regulation of protection from non-homologous end joining at telomere [GO:1905765]; negative regulation of protein ADP-ribosylation [GO:0010836]; nucleotide-excision repair, DNA gap filling [GO:0006297]; positive regulation of DNA ligase activity [GO:1904877]; positive regulation of single strand break repair [GO:1903518]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; response to drug [GO:0042493]; response to hydroperoxide [GO:0033194]; response to hypoxia [GO:0001666]; response to organic substance [GO:0010033]; single strand break repair [GO:0000012]; telomeric DNA-containing double minutes formation [GO:0061819]; transcription-coupled nucleotide-excision repair [GO:0006283]; voluntary musculoskeletal movement [GO:0050882]"
"PGEN_.00g032670"	7.59697132011751e-05	"Scaffold_01"	88357420	88371915	NA	NA	NA	NA	NA
"PGEN_.00g222990"	7.89626515649701e-05	"Scaffold_10"	49067410	49067658	NA	NA	NA	NA	NA
"PGEN_.00g159640"	8.04452031754398e-05	"Scaffold_07"	19130999	19146957	NA	NA	NA	NA	NA
"PGEN_.00g348620"	9.16882477301455e-05	"Scaffold_18"	25403332	25420994	"Q4N4N8"	"TXND_THEPA"	"Thioredoxin domain-containing protein (Membrane protein 23) (mp23)"	"GO:0005623; GO:0005789; GO:0016021; GO:0045454"	"cell [GO:0005623]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; cell redox homeostasis [GO:0045454]"
"PGEN_.00g017070"	9.35709149890714e-05	"Scaffold_01"	46195246	46202441	NA	NA	NA	NA	NA
"PGEN_.00g019750"	9.35709149890714e-05	"Scaffold_01"	54083826	54085725	NA	NA	NA	NA	NA
"PGEN_.00g013580"	9.82079471837194e-05	"Scaffold_01"	35125653	35147046	"Q99NB1"	"ACS2L_MOUSE"	"Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1) (Propionate--CoA ligase) (EC 6.2.1.17)"	"GO:0003987; GO:0005524; GO:0005739; GO:0005759; GO:0006085; GO:0016208; GO:0019413; GO:0019427; GO:0019542; GO:0050218"	"mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; propionate-CoA ligase activity [GO:0050218]; acetate biosynthetic process [GO:0019413]; acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA biosynthetic process from acetate [GO:0019427]; propionate biosynthetic process [GO:0019542]"
"PGEN_.00g166050"	0.000100451877466203	"Scaffold_07"	36713742	36714423	NA	NA	NA	NA	NA
"PGEN_.00g009010"	0.000101945227573114	"Scaffold_01"	23434409	23484204	"Q99MV1"	"TDRD1_MOUSE"	"Tudor domain-containing protein 1"	"GO:0005737; GO:0005829; GO:0007275; GO:0007281; GO:0007283; GO:0031047; GO:0033391; GO:0034587; GO:0043046; GO:0043186; GO:0046872; GO:0051321; GO:0071546; GO:1990904"	"chromatoid body [GO:0033391]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; P granule [GO:0043186]; pi-body [GO:0071546]; ribonucleoprotein complex [GO:1990904]; metal ion binding [GO:0046872]; DNA methylation involved in gamete generation [GO:0043046]; gene silencing by RNA [GO:0031047]; germ cell development [GO:0007281]; meiotic cell cycle [GO:0051321]; multicellular organism development [GO:0007275]; piRNA metabolic process [GO:0034587]; spermatogenesis [GO:0007283]"
"PGEN_.00g229290"	0.000108716848654088	"Scaffold_11"	14384730	14401505	"P33274"	"CP4F1_RAT"	"Cytochrome P450 4F1 (EC 1.14.14.1) (CYPIVF1) (Cytochrome P450-A3)"	"GO:0005506; GO:0005789; GO:0006690; GO:0008391; GO:0009636; GO:0019369; GO:0020037; GO:0043231; GO:0050544; GO:0070330"	"endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; arachidonic acid binding [GO:0050544]; arachidonic acid monooxygenase activity [GO:0008391]; aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; arachidonic acid metabolic process [GO:0019369]; icosanoid metabolic process [GO:0006690]; response to toxic substance [GO:0009636]"
"PGEN_.00g066340"	0.000111949016920818	"Scaffold_03"	23576108	23642329	"A2ASS6"	"TITIN_MOUSE"	"Titin (EC 2.7.11.1) (Connectin)"	"GO:0000794; GO:0001701; GO:0001756; GO:0002020; GO:0003007; GO:0003300; GO:0004674; GO:0004713; GO:0005200; GO:0005509; GO:0005516; GO:0005524; GO:0005859; GO:0005865; GO:0006936; GO:0007507; GO:0007512; GO:0008307; GO:0010628; GO:0010737; GO:0019899; GO:0019901; GO:0021591; GO:0030016; GO:0030017; GO:0030018; GO:0030240; GO:0030241; GO:0030506; GO:0031430; GO:0031433; GO:0031672; GO:0031674; GO:0035995; GO:0042802; GO:0042805; GO:0043056; GO:0043621; GO:0045214; GO:0045859; GO:0048739; GO:0048769; GO:0050714; GO:0050790; GO:0051015; GO:0051371; GO:0051592; GO:0055002; GO:0055003; GO:0055008; GO:0060048; GO:0060419; GO:0071688; GO:1901897"	"A band [GO:0031672]; condensed nuclear chromosome [GO:0000794]; I band [GO:0031674]; M band [GO:0031430]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]; actin filament binding [GO:0051015]; actinin binding [GO:0042805]; ankyrin binding [GO:0030506]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; muscle alpha-actinin binding [GO:0051371]; protease binding [GO:0002020]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; structural constituent of cytoskeleton [GO:0005200]; structural constituent of muscle [GO:0008307]; telethonin binding [GO:0031433]; adult heart development [GO:0007512]; cardiac muscle contraction [GO:0060048]; cardiac muscle fiber development [GO:0048739]; cardiac muscle hypertrophy [GO:0003300]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac myofibril assembly [GO:0055003]; detection of muscle stretch [GO:0035995]; forward locomotion [GO:0043056]; heart development [GO:0007507]; heart growth [GO:0060419]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein kinase A signaling [GO:0010737]; regulation of catalytic activity [GO:0050790]; regulation of protein kinase activity [GO:0045859]; regulation of relaxation of cardiac muscle [GO:1901897]; response to calcium ion [GO:0051592]; sarcomere organization [GO:0045214]; sarcomerogenesis [GO:0048769]; skeletal muscle myosin thick filament assembly [GO:0030241]; skeletal muscle thin filament assembly [GO:0030240]; somitogenesis [GO:0001756]; striated muscle cell development [GO:0055002]; striated muscle myosin thick filament assembly [GO:0071688]; ventricular system development [GO:0021591]"
