Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q9VXF1,PP2B3_DROME,Serine/threonine-protein phosphatase 2B catalytic subunit 3 (EC 3.1.3.16) (Calmodulin-dependent calcineurin A3 subunit),CanA-14F CnnA14D CG9819,Drosophila melanogaster (Fruit fly),GO:0004722; GO:0005516; GO:0005737; GO:0005955; GO:0030431; GO:0033192; GO:0046872; GO:0097720
Q6C5Y8,VAC8_YARLI,Vacuolar protein 8,VAC8 YALI0E13992g,Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica),GO:0000011; GO:0000329; GO:0016236; GO:0042144; GO:0043495; GO:0071255; GO:0071561; GO:0071562; GO:0071563
Q6IE24,UBP54_RAT,Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54),Usp54,Rattus norvegicus (Rat),GO:0016579; GO:0036459
Q6IPR3,TYW3_HUMAN,tRNA wybutosine-synthesizing protein 3 homolog (tRNA-yW-synthesizing protein 3) (EC 2.1.1.282) (tRNA(Phe) 7-((3-amino-3-carboxypropyl)-4-demethylwyosine(37)-N(4))-methyltransferase),TYW3 C1orf171,Homo sapiens (Human),GO:0005737; GO:0008175; GO:0030488; GO:0031591
Q1JQA3,AP3S2_BOVIN,AP-3 complex subunit sigma-2 (AP-3 complex subunit sigma-3B) (Adaptor-related protein complex 3 subunit sigma-2) (Sigma-3B-adaptin) (Sigma3B-adaptin) (Sigma-adaptin 3b),AP3S2,Bos taurus (Bovine),GO:0005794; GO:0006886; GO:0008089; GO:0016192; GO:0030123; GO:0030659; GO:0043231; GO:0048490; GO:1904115
Q9DCR2,AP3S1_MOUSE,AP-3 complex subunit sigma-1 (AP-3 complex subunit sigma-3A) (Adaptor-related protein complex 3 subunit sigma-1) (Sigma-3A-adaptin) (Sigma3A-adaptin) (Sigma-adaptin 3a),Ap3s1,Mus musculus (Mouse),GO:0005802; GO:0006886; GO:0008089; GO:0016020; GO:0016192; GO:0030123; GO:0030659; GO:0043231; GO:0048490; GO:1904115
Q9D9B4,LRMDA_MOUSE,Leucine-rich melanocyte differentiation-associated protein,Lrmda,Mus musculus (Mouse),GO:0030318
Q8IVV2,LOXH1_HUMAN,Lipoxygenase homology domain-containing protein 1,LOXHD1,Homo sapiens (Human),GO:0004096; GO:0007605; GO:0020037; GO:0032420
C8YR32,LOXH1_MOUSE,Lipoxygenase homology domain-containing protein 1,Loxhd1,Mus musculus (Mouse),GO:0004096; GO:0007605; GO:0020037; GO:0032420
Q9VE46,SC5A7_DROME,High-affinity choline transporter 1,ChT CG7708,Drosophila melanogaster (Fruit fly),GO:0003333; GO:0005307; GO:0008292; GO:0015171; GO:0015220; GO:0015871; GO:0016021; GO:0033265
Q8N0N3,BGBP_PENMO,"Beta-1,3-glucan-binding protein (GBP)",,Penaeus monodon (Giant tiger prawn),GO:0001872; GO:0004553; GO:0005576; GO:0005975; GO:0045087
O64411,PAO1_MAIZE,Polyamine oxidase 1 (EC 1.5.3.14) (EC 1.5.3.15),MPAO1 MPAO PAO,Zea mays (Maize),GO:0006598; GO:0009505; GO:0016491; GO:0046208; GO:0046592; GO:0048046; GO:0050660; GO:0052893; GO:0052896; GO:0052897; GO:0052898; GO:0052900
Q3T8J9,GON4L_HUMAN,GON-4-like protein (GON-4 homolog),GON4L GON4 KIAA1606,Homo sapiens (Human),GO:0000981; GO:0003677; GO:0003714; GO:0005634; GO:0005654; GO:0016604; GO:0030183; GO:0045892
Q5R9L3,G3BP2_PONAB,Ras GTPase-activating protein-binding protein 2 (G3BP-2) (GAP SH3 domain-binding protein 2),G3BP2,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0003723; GO:0005829; GO:0010494; GO:0034063; GO:0045087; GO:0051028; GO:0051260; GO:0062029
P34457,YMD3_CAEEL,Putative uncharacterized transposon-derived protein F54H12.3,F54H12.3,Caenorhabditis elegans,GO:0003676; GO:0015074
P46272,TBP_ACEPE,TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit),,Acetabularia peniculus (Green alga) (Polyphysa peniculus),GO:0003677; GO:0005634; GO:0006352
Q9UI32,GLSL_HUMAN,"Glutaminase liver isoform, mitochondrial (GLS) (EC 3.5.1.2) (L-glutaminase) (L-glutamine amidohydrolase)",GLS2 GA,Homo sapiens (Human),GO:0004359; GO:0005739; GO:0005759; GO:0006520; GO:0006537; GO:0006543; GO:0008652; GO:0014047; GO:0042981; GO:0072593
Q5R890,MINP1_PONAB,"Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)",MINPP1,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0005788; GO:0034417; GO:0052826
Q9Y535,RPC8_HUMAN,DNA-directed RNA polymerase III subunit RPC8 (RNA polymerase III subunit C8) (DNA-directed RNA polymerase III subunit H) (RNA polymerase III subunit 22.9 kDa subunit) (RPC22.9),POLR3H KIAA1665 RPC8,Homo sapiens (Human),GO:0003677; GO:0003899; GO:0005654; GO:0005666; GO:0005813; GO:0005829; GO:0006139; GO:0006383; GO:0006384; GO:0032481; GO:0043231; GO:0045087; GO:0051607
Q5MJ12,FXL16_RAT,F-box/LRR-repeat protein 16 (F-box and leucine-rich repeat protein 16) (Spinal cord injury and regeneration-related protein 1),Fbxl16 Scirr1,Rattus norvegicus (Rat),GO:0005737; GO:0006511; GO:0016567; GO:0019005; GO:0031146
Q5E9P3,S1PR1_BOVIN,Sphingosine 1-phosphate receptor 1 (S1P receptor 1) (S1P1) (Endothelial differentiation G-protein coupled receptor 1) (Sphingosine 1-phosphate receptor Edg-1) (S1P receptor Edg-1) (CD antigen CD363),S1PR1 EDG1,Bos taurus (Bovine),GO:0001525; GO:0001664; GO:0001955; GO:0003245; GO:0003376; GO:0005654; GO:0005768; GO:0006935; GO:0007193; GO:0007420; GO:0008284; GO:0009897; GO:0016021; GO:0016477; GO:0030032; GO:0030155; GO:0030500; GO:0030595; GO:0031226; GO:0031532; GO:0038036; GO:0045121; GO:0045124; GO:0061384; GO:0072678
P67775,PP2AA_HUMAN,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C),PPP2CA,Homo sapiens (Human),GO:0000159; GO:0000184; GO:0000188; GO:0000775; GO:0000922; GO:0001932; GO:0004721; GO:0004722; GO:0005634; GO:0005739; GO:0005829; GO:0005886; GO:0006275; GO:0006355; GO:0006470; GO:0006672; GO:0006915; GO:0007084; GO:0007498; GO:0008022; GO:0008380; GO:0010033; GO:0010288; GO:0010719; GO:0015630; GO:0016020; GO:0019932; GO:0030111; GO:0030155; GO:0030308; GO:0035970; GO:0040008; GO:0042532; GO:0045121; GO:0045202; GO:0045595; GO:0046872; GO:0046982; GO:0048156; GO:0050811; GO:0051321; GO:0070062; GO:0070262; GO:0071902; GO:1904526; GO:1904528
P48463,PP2AA_CHICK,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16),PPP2CA,Gallus gallus (Chicken),GO:0000159; GO:0000775; GO:0000922; GO:0004722; GO:0005634; GO:0005737; GO:0008637; GO:0010468; GO:0034976; GO:0042542; GO:0043161; GO:0046872; GO:0046982
P63247,RACK1_CHICK,Receptor of activated protein C kinase 1 (Guanine nucleotide-binding protein subunit beta-like protein 12.3) (Receptor for activated C kinase) (Receptor of activated protein kinase C 1) (RACK1),RACK1 GNB2L1,Gallus gallus (Chicken),GO:0001891; GO:0001934; GO:0005080; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0007165; GO:0008200; GO:0008656; GO:0010629; GO:0016567; GO:0019899; GO:0019903; GO:0022627; GO:0030178; GO:0030292; GO:0030308; GO:0030332; GO:0030335; GO:0030425; GO:0030496; GO:0030971; GO:0032436; GO:0032464; GO:0032880; GO:0033137; GO:0035591; GO:0042169; GO:0042803; GO:0042998; GO:0043022; GO:0043025; GO:0043204; GO:0043473; GO:0043547; GO:0048471; GO:0050765; GO:0051302; GO:0051343; GO:0051726; GO:0051898; GO:0051901; GO:0071333; GO:0071363; GO:0072344; GO:1903208; GO:1990630; GO:2000114; GO:2000543; GO:2001244
O94901,SUN1_HUMAN,SUN domain-containing protein 1 (Protein unc-84 homolog A) (Sad1/unc-84 protein-like 1),SUN1 KIAA0810 UNC84A,Homo sapiens (Human),GO:0001503; GO:0005521; GO:0005623; GO:0005635; GO:0005639; GO:0005737; GO:0006998; GO:0007129; GO:0007283; GO:0009612; GO:0021817; GO:0031965; GO:0034993; GO:0043231; GO:0043495; GO:0051642; GO:0070197; GO:0090286; GO:0090292
Q9YIC0,EF1A_ORYLA,Elongation factor 1-alpha (EF-1-alpha),eef1a ef1a,Oryzias latipes (Japanese rice fish) (Japanese killifish),GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414
Q6P5C7,ZN728_MOUSE,Zinc finger protein 728,Znf728 Zfp458,Mus musculus (Mouse),GO:0003677; GO:0005634; GO:0006355; GO:0046872
P79098,AMPN_BOVIN,Aminopeptidase N (AP-N) (bAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (CD antigen CD13),ANPEP APN,Bos taurus (Bovine),GO:0001525; GO:0001618; GO:0005737; GO:0005886; GO:0006508; GO:0008270; GO:0016021; GO:0030154; GO:0042277; GO:0043171; GO:0070006
O57579,AMPN_CHICK,Aminopeptidase Ey (EC 3.4.11.20) (Aminopeptidase N),ANPEP APDE,Gallus gallus (Chicken),GO:0005737; GO:0005793; GO:0005886; GO:0006508; GO:0008270; GO:0009897; GO:0016021; GO:0042277; GO:0043171; GO:0070006; GO:0070062
P82861,ADRO_SALFO,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)",fdxr,Salvelinus fontinalis (Brook trout) (Salmo fontinalis),GO:0005739; GO:0005743; GO:0008203; GO:0015039
P22570,ADRO_HUMAN,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)",FDXR ADXR,Homo sapiens (Human),GO:0004324; GO:0005739; GO:0005743; GO:0005759; GO:0006091; GO:0006694; GO:0006700; GO:0006744; GO:0008203; GO:0015039; GO:0016125; GO:0055114
Q20496,GDIR_CAEEL,Probable rho GDP-dissociation inhibitor (Rho GDI),rhi-1 F46H6.1,Caenorhabditis elegans,GO:0005094; GO:0005096; GO:0005829; GO:0007266; GO:0016020; GO:0048365
A2VDL9,T184B_BOVIN,Transmembrane protein 184B,TMEM184B,Bos taurus (Bovine),GO:0016021
Q3UFJ6,T184A_MOUSE,Transmembrane protein 184A (Sexually dimorphic expressed in male gonads 1),Tmem184a Sdmg1,Mus musculus (Mouse),GO:0005768; GO:0005886; GO:0008201; GO:0016021; GO:0018992; GO:0030658; GO:0030659; GO:0030667; GO:0031901; GO:0032880; GO:0048471; GO:0051046
A6NHN0,OTOL1_HUMAN,Otolin-1,OTOL1,Homo sapiens (Human),GO:0005201; GO:0005509; GO:0005576; GO:0005581; GO:0005615; GO:0030198; GO:0031012; GO:0045299; GO:0051260
P51892,DNLI1_XENLA,DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1),lig1,Xenopus laevis (African clawed frog),GO:0003677; GO:0003910; GO:0005524; GO:0005634; GO:0006260; GO:0006310; GO:0007049; GO:0046872; GO:0051103; GO:0051301; GO:0071897
Q96AX2,RAB37_HUMAN,Ras-related protein Rab-37,RAB37,Homo sapiens (Human),GO:0003924; GO:0005525; GO:0005793; GO:0005886; GO:0006886; GO:0032482; GO:0035577; GO:0035579; GO:0043312
Q6ICB0,DESI1_HUMAN,Desumoylating isopeptidase 1 (DeSI-1) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 2) (Polyubiquitinated substrate transporter) (POST),DESI1 FAM152B PPPDE2,Homo sapiens (Human),GO:0005634; GO:0005737; GO:0008233; GO:0042802
P20420,ACHA5_RAT,Neuronal acetylcholine receptor subunit alpha-5,Chrna5 Acra5,Rattus norvegicus (Rat),GO:0005886; GO:0005887; GO:0005892; GO:0007165; GO:0007268; GO:0007271; GO:0007274; GO:0015464; GO:0022848; GO:0030054; GO:0030425; GO:0034220; GO:0035094; GO:0035095; GO:0042166; GO:0042391; GO:0043005; GO:0043025; GO:0044877; GO:0045202; GO:0045211; GO:0050877; GO:0098691; GO:2000300
P02709,ACHA_BOVIN,Acetylcholine receptor subunit alpha,CHRNA1,Bos taurus (Bovine),GO:0003009; GO:0005623; GO:0005887; GO:0005892; GO:0007165; GO:0007268; GO:0007271; GO:0007274; GO:0007528; GO:0009986; GO:0015464; GO:0019228; GO:0022848; GO:0030054; GO:0031594; GO:0034220; GO:0035094; GO:0042166; GO:0042391; GO:0043005; GO:0045202; GO:0046716; GO:0048630; GO:0050877; GO:0050905; GO:0070050; GO:0099060
A2ASQ1,AGRIN_MOUSE,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],Agrn Agrin,Mus musculus (Mouse),GO:0001932; GO:0001934; GO:0002162; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0005796; GO:0005829; GO:0005886; GO:0007009; GO:0007268; GO:0007416; GO:0007528; GO:0008045; GO:0009887; GO:0009888; GO:0009986; GO:0016021; GO:0016358; GO:0030054; GO:0030548; GO:0032092; GO:0033691; GO:0035374; GO:0036122; GO:0042030; GO:0042383; GO:0043083; GO:0043087; GO:0043113; GO:0043395; GO:0043525; GO:0043547; GO:0044295; GO:0044325; GO:0045202; GO:0045213; GO:0045887; GO:0045944; GO:0050431; GO:0050731; GO:0050807; GO:0051290; GO:0051491; GO:0055117; GO:0061098; GO:0062023; GO:0070507; GO:0071340; GO:0086036; GO:0098978; GO:1902667; GO:1903277; GO:1903407; GO:2000541
Q3B7D5,RASF2_RAT,Ras association domain-containing protein 2,Rassf2,Rattus norvegicus (Rat),GO:0000776; GO:0000777; GO:0001501; GO:0001503; GO:0004672; GO:0005634; GO:0005737; GO:0007049; GO:0031954; GO:0032991; GO:0033137; GO:0038168; GO:0043065; GO:0045667; GO:0045670; GO:0045860; GO:0046330; GO:0046849; GO:0048872; GO:0050821; GO:1901222; GO:1901223
Q8BMS9,RASF2_MOUSE,Ras association domain-containing protein 2,Rassf2 Kiaa0168,Mus musculus (Mouse),GO:0000776; GO:0000777; GO:0001501; GO:0001503; GO:0004672; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0007049; GO:0031954; GO:0032991; GO:0033137; GO:0038168; GO:0043065; GO:0045667; GO:0045670; GO:0045860; GO:0046330; GO:0046849; GO:0048872; GO:0050821; GO:1901222; GO:1901223
O35250,EXOC7_MOUSE,Exocyst complex component 7 (Exocyst complex component Exo70),Exoc7 Exo70,Mus musculus (Mouse),GO:0000145; GO:0005815; GO:0005829; GO:0005886; GO:0006887; GO:0015031; GO:0032584; GO:0034451; GO:0090543; GO:2000535
Q923D5,WBP11_MOUSE,WW domain-binding protein 11 (WBP-11) (Splicing factor that interacts with PQBP-1 and PP1),Wbp11 Sipp1,Mus musculus (Mouse),GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006364; GO:0008380; GO:0016607; GO:0019888; GO:0043231; GO:0045292; GO:0050699
Q708W2,FXJ1A_XENLA,Forkhead box protein J1-A (FoxJ1-A) (FoxJ1a) (xFoxJ1) (Forkhead protein 5) (xFKH5),foxj1-a,Xenopus laevis (African clawed frog),GO:0003677; GO:0003700; GO:0005634; GO:0006355; GO:0043565; GO:0060271
Q6ZQ88,KDM1A_MOUSE,Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2),Kdm1a Aof2 Kiaa0601 Lsd1,Mus musculus (Mouse),GO:0000122; GO:0000784; GO:0000790; GO:0000978; GO:0001085; GO:0002039; GO:0002052; GO:0003682; GO:0005634; GO:0005654; GO:0006342; GO:0006357; GO:0006482; GO:0008134; GO:0010569; GO:0010725; GO:0010976; GO:0016491; GO:0019899; GO:0021983; GO:0030154; GO:0030374; GO:0030851; GO:0032091; GO:0032451; GO:0032452; GO:0032453; GO:0032454; GO:0032991; GO:0033169; GO:0033184; GO:0034644; GO:0034648; GO:0034720; GO:0035563; GO:0042162; GO:0043426; GO:0043433; GO:0043518; GO:0044212; GO:0045648; GO:0045654; GO:0045793; GO:0045892; GO:0045944; GO:0046098; GO:0050660; GO:0050681; GO:0050767; GO:0050768; GO:0051091; GO:0051572; GO:0051573; GO:0055001; GO:0061752; GO:0071480; GO:0120162; GO:1902166; GO:1903827; GO:1990138; GO:1990391; GO:2000179; GO:2000648
O60341,KDM1A_HUMAN,Lysine-specific histone demethylase 1A (EC 1.-.-.-) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2),KDM1A AOF2 KDM1 KIAA0601 LSD1,Homo sapiens (Human),GO:0000122; GO:0000380; GO:0000784; GO:0000790; GO:0001085; GO:0002039; GO:0002052; GO:0003682; GO:0005634; GO:0005654; GO:0005667; GO:0006357; GO:0006482; GO:0007596; GO:0008134; GO:0010569; GO:0010976; GO:0016491; GO:0019899; GO:0021987; GO:0030374; GO:0032091; GO:0032451; GO:0032452; GO:0032453; GO:0032454; GO:0032991; GO:0033169; GO:0033184; GO:0034644; GO:0034648; GO:0034720; GO:0035563; GO:0042162; GO:0042551; GO:0043392; GO:0043426; GO:0043433; GO:0043518; GO:0044212; GO:0045793; GO:0045892; GO:0045944; GO:0046098; GO:0050660; GO:0050681; GO:0051091; GO:0051572; GO:0051573; GO:0055001; GO:0060992; GO:0061752; GO:0071320; GO:0071480; GO:0120162; GO:1902166; GO:1903827; GO:1990391; GO:2000179; GO:2000648
O43490,PROM1_HUMAN,Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133),PROM1 PROML1 MSTP061,Homo sapiens (Human),GO:0001750; GO:0005615; GO:0005783; GO:0005793; GO:0005886; GO:0005887; GO:0005902; GO:0005929; GO:0009986; GO:0010842; GO:0015485; GO:0016324; GO:0031528; GO:0031982; GO:0042622; GO:0042805; GO:0045296; GO:0045494; GO:0060042; GO:0060219; GO:0070062; GO:0071914; GO:0072112; GO:0072139; GO:2000768
Q3URU2,PEG3_MOUSE,Paternally-expressed gene 3 protein (ASF-1),Peg3 Kiaa0287 Pw1,Mus musculus (Mouse),GO:0000122; GO:0003676; GO:0005634; GO:0005776; GO:0006915; GO:0010468; GO:0045944; GO:0046872
P47809,MP2K4_MOUSE,Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (C-JUN N-terminal kinase kinase 1) (JNK kinase 1) (JNKK 1) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1),Map2k4 Jnkk1 Mek4 Mkk4 Prkmk4 Sek1 Serk1 Skk1,Mus musculus (Mouse),GO:0000165; GO:0000187; GO:0001934; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006468; GO:0006915; GO:0007254; GO:0007257; GO:0008545; GO:0009611; GO:0023014; GO:0030424; GO:0031435; GO:0032147; GO:0032839; GO:0034393; GO:0043065; GO:0043204; GO:0043525; GO:0045740; GO:0051770; GO:0061049; GO:0071260; GO:0072709; GO:2000672
Q5HZT0,DXO_XENLA,Decapping and exoribonuclease protein (DXO) (EC 3.1.13.-) (EC 3.6.1.-) (Dom-3 homolog Z),dxo dom3z,Xenopus laevis (African clawed frog),GO:0000166; GO:0000287; GO:0003729; GO:0005634; GO:0006402; GO:0008409; GO:0034353; GO:0050779; GO:0071028; GO:0090305; GO:0110152; GO:0110155
Q13371,PHLP_HUMAN,Phosducin-like protein (PHLP),PDCL PHLOP1 PhLP1,Homo sapiens (Human),GO:0005737; GO:0005829; GO:0005929; GO:0006457; GO:0007165; GO:0007601; GO:0008277; GO:0030030; GO:0044877; GO:0045880; GO:0061084; GO:1902605
Q5PR68,CE112_MOUSE,Centrosomal protein of 112 kDa (Cep112) (Coiled-coil domain-containing protein 46),Cep112 Ccdc46,Mus musculus (Mouse),GO:0005737; GO:0005813; GO:0005886; GO:0060077; GO:0097120
Q8N8E3,CE112_HUMAN,Centrosomal protein of 112 kDa (Cep112) (Coiled-coil domain-containing protein 46),CEP112 CCDC46,Homo sapiens (Human),GO:0005737; GO:0005813; GO:0005886; GO:0060077; GO:0097120
Q91X20,ASH2L_MOUSE,Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein),Ash2l,Mus musculus (Mouse),GO:0005634; GO:0005654; GO:0005719; GO:0006974; GO:0008013; GO:0008284; GO:0035097; GO:0042800; GO:0043627; GO:0044212; GO:0044666; GO:0045944; GO:0046872; GO:0048096; GO:0048188; GO:0051568; GO:0071339; GO:1990188
O95639,CPSF4_HUMAN,Cleavage and polyadenylation specificity factor subunit 4 (Cleavage and polyadenylation specificity factor 30 kDa subunit) (CPSF 30 kDa subunit) (NS1 effector domain-binding protein 1) (Neb-1) (No arches homolog),CPSF4 CPSF30 NAR NEB1,Homo sapiens (Human),GO:0000398; GO:0003723; GO:0005654; GO:0005847; GO:0006369; GO:0006388; GO:0006406; GO:0008270; GO:0031124; GO:0043231; GO:0046778; GO:0098789
Q8N695,SC5A8_HUMAN,Sodium-coupled monocarboxylate transporter 1 (Apical iodide transporter) (Electrogenic sodium monocarboxylate cotransporter) (Sodium iodide-related cotransporter) (Solute carrier family 5 member 8),SLC5A8 AIT SMCT SMCT1,Homo sapiens (Human),GO:0005886; GO:0006811; GO:0006915; GO:0008028; GO:0015129; GO:0015552; GO:0015913; GO:0016021; GO:0016324; GO:0022803; GO:0034356; GO:0070062; GO:0140161
Q32L83,BRI3_BOVIN,Brain protein I3,BRI3,Bos taurus (Bovine),GO:0005765; GO:0016021
P14600,NK1R_RAT,Substance-P receptor (SPR) (NK-1 receptor) (NK-1R) (Tachykinin receptor 1),Tacr1 Tac1r,Rattus norvegicus (Rat),GO:0002118; GO:0002526; GO:0002687; GO:0003051; GO:0004995; GO:0005623; GO:0005737; GO:0005886; GO:0007204; GO:0007217; GO:0007218; GO:0007611; GO:0007616; GO:0008217; GO:0008306; GO:0009408; GO:0009725; GO:0009986; GO:0010193; GO:0010634; GO:0010996; GO:0014070; GO:0014910; GO:0016021; GO:0016496; GO:0019233; GO:0030425; GO:0032224; GO:0032230; GO:0032355; GO:0032570; GO:0035094; GO:0035106; GO:0035815; GO:0036126; GO:0042713; GO:0042755; GO:0043117; GO:0043278; GO:0044297; GO:0045471; GO:0045760; GO:0045777; GO:0045778; GO:0045907; GO:0046878; GO:0046887; GO:0048265; GO:0048266; GO:0048660; GO:0050671; GO:0050679; GO:0051496; GO:0051602; GO:0060083; GO:0061827; GO:0070472; GO:0070474; GO:0071944; GO:0097225; GO:1902093
Q2LE78,BTBD6_XENLA,BTB/POZ domain-containing protein 6,btbd6,Xenopus laevis (African clawed frog),GO:0005737
Q6P2U9,CSN3_DANRE,COP9 signalosome complex subunit 3 (Signalosome subunit 3),cops3 csn3 wu:fc32a02,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0005737; GO:0006511; GO:0008180
Q8TCD5,NT5C_HUMAN,"5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)",NT5C DNT1 UMPH2,Homo sapiens (Human),GO:0005634; GO:0005737; GO:0005829; GO:0006195; GO:0008252; GO:0008253; GO:0009223; GO:0016311; GO:0019103; GO:0046135; GO:0046872; GO:0070062
Q7Z0T3,TEMPT_APLCA,Temptin,,Aplysia californica (California sea hare),GO:0005186; GO:0005576
Q15637,SF01_HUMAN,Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162),SF1 ZFM1 ZNF162,Homo sapiens (Human),GO:0000245; GO:0000389; GO:0000398; GO:0003714; GO:0003723; GO:0005634; GO:0005654; GO:0005681; GO:0005840; GO:0008270; GO:0016604; GO:0030238; GO:0030575; GO:0033327; GO:0042802; GO:0045131; GO:0048662; GO:0050810
Q5ZL98,RPC1_CHICK,DNA-directed RNA polymerase III subunit RPC1 (RNA polymerase III subunit C1) (EC 2.7.7.6) (DNA-directed RNA polymerase III subunit A),POLR3A RCJMB04_7b9,Gallus gallus (Chicken),GO:0003677; GO:0003899; GO:0005666; GO:0006383; GO:0046872
B9E8C3,ALR_MACCJ,Alanine racemase (EC 5.1.1.1),alr MCCL_1734,Macrococcus caseolyticus (strain JCSC5402),GO:0008784; GO:0030170; GO:0030632
Q8NE62,CHDH_HUMAN,"Choline dehydrogenase, mitochondrial (CDH) (CHD) (EC 1.1.99.1)",CHDH,Homo sapiens (Human),GO:0005743; GO:0008812; GO:0019285; GO:0042426; GO:0050660
Q95M71,BIRC8_GORGO,Baculoviral IAP repeat-containing protein 8 (Inhibitor of apoptosis-like protein 2) (IAP-like protein 2) (ILP-2),BIRC8 ILP2,Gorilla gorilla gorilla (Western lowland gorilla),GO:0005634; GO:0005737; GO:0031398; GO:0043027; GO:0043154; GO:0046872; GO:0061630; GO:0090263; GO:1990001
Q29S14,TV23B_BOVIN,Golgi apparatus membrane protein TVP23 homolog B,TVP23B FAM18B FAM18B1,Bos taurus (Bovine),GO:0009306; GO:0016192; GO:0030173
A8IW99,PLD6_CHLRE,Mitochondrial cardiolipin hydrolase (EC 3.1.-.-) (Phospholipase D6 homolog) (PLD 6),CHLREDRAFT_190403,Chlamydomonas reinhardtii (Chlamydomonas smithii),GO:0004519; GO:0005741; GO:0016021; GO:0016042; GO:0046872; GO:0051321
P80010,PLMN_HORSE,Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Plasmin light chain B] (Fragment),PLG,Equus caballus (Horse),GO:0004252; GO:0005576; GO:0007596; GO:0042730; GO:0048771
Q2V897,TLR2_BOSTR,Toll-like receptor 2 (CD antigen CD282),TLR2,Boselaphus tragocamelus (Nilgai),GO:0002755; GO:0005794; GO:0006954; GO:0016021; GO:0030670; GO:0034134; GO:0045087; GO:0045121; GO:0050707; GO:0050729; GO:0071726; GO:0071727
P49842,STK19_HUMAN,Serine/threonine-protein kinase 19 (EC 2.7.11.1) (Protein G11) (Protein RP1),STK19 G11 RP1,Homo sapiens (Human),GO:0004674; GO:0005524; GO:0005634; GO:0006468; GO:0016607; GO:0017016; GO:0046579
