"uniprot.id"	"gene"	"adj.pval.treatment"	"start"	"end"	"score"	"Match.ID"	"m_start"	"m_end"	"E.value"	"identity"	"al"	"protein.name.short"	"protein.name.long"	"gene.names"	"organism"	"GO.IDs"
"Q5R6S0"	"PGEN_.00g279730"	1.36672865873327e-05	1	556	1232	"sp|Q5R6S0|ABHGA_PONAB"	1	522	8.34e-164	43.447	557	"ABHGA_PONAB"	"Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23)"	"ABHD16A BAT5"	"Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)"	"GO:0004620; GO:0006660; GO:0016021; GO:0047372; GO:0052651; GO:1905344"
"Q80TN7"	"PGEN_.00g013900"	1.36738328522214e-05	75	182	180	"sp|Q80TN7|NAV3_MOUSE"	156	259	8.84e-12	35.185	108	"NAV3_MOUSE"	"Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1)"	"Nav3 Kiaa0938 Pomfil1"	"Mus musculus (Mouse)"	"GO:0005524; GO:0005634; GO:0005635; GO:0005640; GO:0007026; GO:0007399; GO:0008017; GO:0022008; GO:0030336; GO:0031116; GO:0032703; GO:1905929"
"E9Q309"	"PGEN_.00g282790"	1.62253143091255e-05	2889	3089	388	"sp|E9Q309|CE350_MOUSE"	2327	2524	1.05e-35	40.291	206	"CE350_MOUSE"	"Centrosome-associated protein 350 (Cep350)"	"Cep350 Kiaa0480"	"Mus musculus (Mouse)"	"GO:0005634; GO:0005737; GO:0005813; GO:0005814; GO:0005819; GO:0008017; GO:0034453; GO:0042995"
"B0BN95"	"PGEN_.00g128250"	1.64362134872575e-05	32	175	240	"sp|B0BN95|HARB1_RAT"	4	146	1.58e-22	37.5	144	"HARB1_RAT"	"Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)"	"Harbi1"	"Rattus norvegicus (Rat)"	"GO:0004518; GO:0005634; GO:0005737; GO:0046872"
NA	"PGEN_.00g062900"	1.7241445572527e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"F1QFU0"	"PGEN_.00g063940"	1.78194385122944e-05	218	852	500	"sp|F1QFU0|TMC1_DANRE"	78	652	4.84e-52	26.947	642	"TMC1_DANRE"	"Transmembrane channel-like protein 1"	"tmc1 si:229d2.1"	"Danio rerio (Zebrafish) (Brachydanio rerio)"	"GO:0005216; GO:0005887; GO:0008381; GO:0032421; GO:0050910"
"Q8R4E1"	"PGEN_.00g178040"	1.96067994690517e-05	32	610	1145	"sp|Q8R4E1|TIP_RAT"	40	624	2.03e-148	41.625	603	"TIP_RAT"	"T-cell immunomodulatory protein (Protein TIP) (CDA08-like protein) (Integrin-alpha FG-GAP repeat-containing protein 1) (Linkin)"	"Itfg1 Cda08 Lnkn-1 Tip"	"Rattus norvegicus (Rat)"	"GO:0005576; GO:0005886; GO:0016021"
"Q9NZJ4"	"PGEN_.00g198310"	1.96067994690517e-05	376	4577	2648	"sp|Q9NZJ4|SACS_HUMAN"	246	4352	0	25.434	4435	"SACS_HUMAN"	"Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)"	"SACS KIAA0730"	"Homo sapiens (Human)"	"GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0030424; GO:0030425; GO:0030544; GO:0051087; GO:0070628; GO:0070852; GO:0090084"
"Q28205"	"PGEN_.00g057650"	2.17708638709509e-05	661	1195	1213	"sp|Q28205|TBCD_BOVIN"	401	923	7.73e-148	47.201	536	"TBCD_BOVIN"	"Tubulin-specific chaperone D (Beta-tubulin cofactor D) (Tubulin-folding cofactor D)"	"TBCD"	"Bos taurus (Bovine)"	"GO:0000226; GO:0000278; GO:0005096; GO:0005813; GO:0005829; GO:0005912; GO:0005923; GO:0006457; GO:0007021; GO:0007023; GO:0010812; GO:0016328; GO:0031115; GO:0034333; GO:0048487; GO:0048667; GO:0070830"
NA	"PGEN_.00g275630"	2.17998382160582e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g317290"	2.22214908240419e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q7X8C5"	"PGEN_.00g130130"	2.24526208462771e-05	409	616	286	"sp|Q7X8C5|WAKLB_ARATH"	799	1019	1.37e-24	36.161	224	"WAKLB_ARATH"	"Wall-associated receptor kinase-like 2 (EC 2.7.11.-)"	"WAKL2 At1g16130 T24D18.21"	"Arabidopsis thaliana (Mouse-ear cress)"	"GO:0004674; GO:0005509; GO:0005524; GO:0005886; GO:0009505; GO:0016021; GO:0030247; GO:0046777"
"P46023"	"PGEN_.00g187810"	2.34967667854778e-05	633	1042	776	"sp|P46023|GR101_LYMST"	1368	1784	1.48e-83	41.289	419	"GR101_LYMST"	"G-protein coupled receptor GRL101"	""	"Lymnaea stagnalis (Great pond snail) (Helix stagnalis)"	"GO:0004930; GO:0005886; GO:0016021"
"Q9I926"	"PGEN_.00g263790"	2.63572215540878e-05	41	179	203	"sp|Q9I926|FUCL6_ANGJA"	27	159	4.34e-17	35.211	142	"FUCL6_ANGJA"	"Fucolectin-6"	""	"Anguilla japonica (Japanese eel)"	"GO:0001868; GO:0005509; GO:0005615; GO:0010185; GO:0030246; GO:0042806; GO:0045088"
"Q27968"	"PGEN_.00g236120"	2.64049716336289e-05	7	473	1070	"sp|Q27968|DNJC3_BOVIN"	2	481	2.86e-140	46.281	484	"DNJC3_BOVIN"	"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)"	"DNAJC3 P58IPK"	"Bos taurus (Bovine)"	"GO:0004860; GO:0005783; GO:0005829; GO:0006469; GO:0006986; GO:0019901; GO:0034975; GO:0036494; GO:0051087; GO:0051787; GO:0070417; GO:1903912"
NA	"PGEN_.00g032670"	2.79437581868458e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g080550"	3.00438329387095e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q6INU7"	"PGEN_.00g009320"	3.02788720015096e-05	182	420	238	"sp|Q6INU7|FRRS1_XENLA"	725	966	3.55e-19	28.235	255	"FRRS1_XENLA"	"Putative ferric-chelate reductase 1 (EC 1.-.-.-)"	"frrs1"	"Xenopus laevis (African clawed frog)"	"GO:0016021; GO:0016491"
NA	"PGEN_.00g254640"	3.17739574101353e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9GKX6"	"PGEN_.00g029590"	3.33613060383527e-05	3	329	485	"sp|Q9GKX6|GALM_PIG"	4	340	7.42e-55	33.529	340	"GALM_PIG"	"Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase)"	"GALM"	"Sus scrofa (Pig)"	"GO:0004034; GO:0005737; GO:0006006; GO:0030246; GO:0033499"
"Q8C428"	"PGEN_.00g056380"	3.33846040230003e-05	101	562	524	"sp|Q8C428|TMC7_MOUSE"	131	591	1.74e-56	31.967	488	"TMC7_MOUSE"	"Transmembrane channel-like protein 7"	"Tmc7"	"Mus musculus (Mouse)"	"GO:0005216; GO:0005887; GO:0008381"
NA	"PGEN_.00g074780"	3.5263828655384e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5WA50"	"PGEN_.00g202890"	3.79649975282741e-05	35	154	143	"sp|Q5WA50|CTR2_OCTVU"	18	142	9.18e-10	35.156	128	"CTR2_OCTVU"	"Cephalotocin receptor 2"	"CTR2"	"Octopus vulgaris (Common octopus)"	"GO:0005000; GO:0005886; GO:0007186; GO:0016021; GO:0016500; GO:0046887"
NA	"PGEN_.00g246110"	3.79649975282741e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g062060"	3.8273359877912e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g017070"	4.16728632155478e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q91V41"	"PGEN_.00g290440"	4.18726009164149e-05	1	215	1037	"sp|Q91V41|RAB14_MOUSE"	42	255	9.93e-144	88.837	215	"RAB14_MOUSE"	"Ras-related protein Rab-14"	"Rab14"	"Mus musculus (Mouse)"	"GO:0000139; GO:0003924; GO:0005525; GO:0005764; GO:0005769; GO:0005770; GO:0005791; GO:0005795; GO:0005802; GO:0005829; GO:0005886; GO:0006886; GO:0006895; GO:0007589; GO:0008543; GO:0016324; GO:0019003; GO:0030133; GO:0030140; GO:0030659; GO:0031489; GO:0031901; GO:0032456; GO:0032482; GO:0032880; GO:0042175; GO:0042742; GO:0043231; GO:0045176; GO:0045335; GO:0045995; GO:0048471; GO:0055037; GO:0090387; GO:0097208; GO:0098993"
NA	"PGEN_.00g104420"	4.18726009164149e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g291470"	4.18726009164149e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O95864"	"PGEN_.00g328690"	4.20998432742643e-05	20	441	1157	"sp|O95864|FADS2_HUMAN"	15	428	8.59e-154	50.711	422	"FADS2_HUMAN"	"Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)"	"FADS2"	"Homo sapiens (Human)"	"GO:0004768; GO:0005789; GO:0005887; GO:0006636; GO:0016020; GO:0016213; GO:0036109; GO:0043651"
NA	"PGEN_.00g336970"	4.40936704040644e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O75096"	"PGEN_.00g190430"	4.5803165745402e-05	776	1198	357	"sp|O75096|LRP4_HUMAN"	53	482	1.31e-32	27.133	457	"LRP4_HUMAN"	"Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"	"LRP4 KIAA0816 LRP10 MEGF7"	"Homo sapiens (Human)"	"GO:0001822; GO:0001942; GO:0005509; GO:0005886; GO:0006897; GO:0009953; GO:0009954; GO:0009986; GO:0014069; GO:0016021; GO:0016055; GO:0030279; GO:0030425; GO:0030971; GO:0031594; GO:0034185; GO:0042475; GO:0042733; GO:0042803; GO:0043025; GO:0044853; GO:0048813; GO:0050731; GO:0050771; GO:0050808; GO:0051124; GO:0051290; GO:0060173; GO:0071340; GO:0090090; GO:0097060; GO:0097104; GO:0097105; GO:0097110; GO:0150094; GO:1901631; GO:1904395"
NA	"PGEN_.00g308600"	4.6424488600125e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8TB03"	"PGEN_.00g199470"	4.65089172961812e-05	13	181	170	"sp|Q8TB03|CX038_HUMAN"	15	193	1.47e-11	28.261	184	"CX038_HUMAN"	"Uncharacterized protein CXorf38"	"CXorf38"	"Homo sapiens (Human)"	""
"Q08499"	"PGEN_.00g007340"	4.77259083406611e-05	333	747	1492	"sp|Q08499|PDE4D_HUMAN"	37	465	0	66.047	430	"PDE4D_HUMAN"	"cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)"	"PDE4D DPDE3"	"Homo sapiens (Human)"	"GO:0002027; GO:0004114; GO:0004115; GO:0005813; GO:0005829; GO:0005886; GO:0005891; GO:0006198; GO:0006939; GO:0007186; GO:0007568; GO:0008144; GO:0010469; GO:0010880; GO:0016020; GO:0016324; GO:0019899; GO:0019933; GO:0030552; GO:0030593; GO:0031625; GO:0031698; GO:0032729; GO:0032743; GO:0032754; GO:0033137; GO:0034704; GO:0035264; GO:0043951; GO:0044325; GO:0045822; GO:0046872; GO:0050852; GO:0051117; GO:0060314; GO:0061028; GO:0071222; GO:0071320; GO:0071872; GO:0071875; GO:0086004; GO:0086024; GO:0097110; GO:1901844; GO:1901898"
NA	"PGEN_.00g204300"	4.84932527444412e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P18887"	"PGEN_.00g134810"	4.99037314438713e-05	55	151	190	"sp|P18887|XRCC1_HUMAN"	25	120	7.51e-14	38.144	97	"XRCC1_HUMAN"	"DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)"	"XRCC1"	"Homo sapiens (Human)"	"GO:0000012; GO:0000724; GO:0000784; GO:0000790; GO:0001666; GO:0005634; GO:0005654; GO:0005730; GO:0006283; GO:0006284; GO:0006288; GO:0006297; GO:0006303; GO:0010033; GO:0010836; GO:0019899; GO:0021587; GO:0021766; GO:0032356; GO:0033194; GO:0042493; GO:0050882; GO:0061819; GO:0070522; GO:1903518; GO:1904877; GO:1905765; GO:1990414; GO:1990599"
"Q2KHR2"	"PGEN_.00g347890"	5.29697109341432e-05	2	177	298	"sp|Q2KHR2|RFX7_HUMAN"	111	255	1.98e-25	36.932	176	"RFX7_HUMAN"	"DNA-binding protein RFX7 (Regulatory factor X 7) (Regulatory factor X domain-containing protein 2)"	"RFX7 RFXDC2"	"Homo sapiens (Human)"	"GO:0000790; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006357"
NA	"PGEN_.00g206430"	5.29697109341432e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g055660"	5.49870825694414e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g304920"	5.54304910721625e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P54288"	"PGEN_.00g330320"	5.72500656204722e-05	44	446	1299	"sp|P54288|CACB2_RABIT"	35	421	2.21e-172	62.871	404	"CACB2_RABIT"	"Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2)"	"CACNB2 CACNLB2"	"Oryctolagus cuniculus (Rabbit)"	"GO:0007601; GO:0008331; GO:0034765; GO:0051015; GO:0051928; GO:0070509; GO:0086056; GO:0086091; GO:0098684; GO:0098793; GO:0098912; GO:0099635; GO:1990454"
NA	"PGEN_.00g247180"	5.73007525574129e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8MP06"	"PGEN_.00g325450"	5.75617826172445e-05	23	235	223	"sp|Q8MP06|SNO1_TYRJA"	126	333	1.09e-18	30.631	222	"SNO1_TYRJA"	"Senecionine N-oxygenase (SNO) (EC 1.14.13.101)"	"sno1"	"Tyria jacobaeae (Cinnabar moth)"	"GO:0004499; GO:0005576; GO:0009820; GO:0033784; GO:0050660; GO:0050661; GO:0051289; GO:0055114"
"Q6UX71"	"PGEN_.00g271330"	6.11470907332507e-05	181	386	503	"sp|Q6UX71|PXDC2_HUMAN"	215	418	4.41e-56	48.058	206	"PXDC2_HUMAN"	"Plexin domain-containing protein 2 (Tumor endothelial marker 7-related protein)"	"PLXDC2 TEM7R UNQ2514/PRO6003"	"Homo sapiens (Human)"	"GO:0016021"
NA	"PGEN_.00g169790"	6.58942387254475e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g269560"	6.72640710277861e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q6XPS3"	"PGEN_.00g095430"	6.9317259722037e-05	346	519	421	"sp|Q6XPS3|TPTE2_HUMAN"	272	453	1.14e-44	46.995	183	"TPTE2_HUMAN"	"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2 (EC 3.1.3.67) (Lipid phosphatase TPIP) (TPTE and PTEN homologous inositol lipid phosphatase)"	"TPTE2 TPIP"	"Homo sapiens (Human)"	"GO:0000139; GO:0004725; GO:0005737; GO:0005789; GO:0006661; GO:0008138; GO:0016021; GO:0016314"
"Q61554"	"PGEN_.00g280060"	7.50480393259744e-05	1232	1521	449	"sp|Q61554|FBN1_MOUSE"	86	348	5.8e-48	40.816	294	"FBN1_MOUSE"	"Fibrillin-1 [Cleaved into: Asprosin]"	"Fbn1 Fbn-1"	"Mus musculus (Mouse)"	"GO:0001501; GO:0001527; GO:0001656; GO:0001822; GO:0005178; GO:0005179; GO:0005201; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0006006; GO:0007507; GO:0008201; GO:0010737; GO:0031012; GO:0033627; GO:0034199; GO:0035582; GO:0035583; GO:0042593; GO:0042802; GO:0043010; GO:0044877; GO:0045671; GO:0048048; GO:0048050; GO:0062023; GO:0071560; GO:1990314; GO:2001205"
NA	"PGEN_.00g340240"	7.52776994404759e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g316050"	7.66305737703673e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q99973"	"PGEN_.00g245920"	7.71626962600833e-05	1031	1909	1004	"sp|Q99973|TEP1_HUMAN"	92	970	5.41e-114	30.381	892	"TEP1_HUMAN"	"Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog)"	"TEP1 TLP1 TP1"	"Homo sapiens (Human)"	"GO:0000722; GO:0000781; GO:0002039; GO:0003720; GO:0003723; GO:0005524; GO:0005697; GO:0005737; GO:0016363; GO:0019899; GO:0070034; GO:1990904"
NA	"PGEN_.00g000720"	7.79377806094819e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g173170"	7.8566733546719e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g139610"	7.89463150950885e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g148840"	8.17415663081363e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g173630"	8.83121597528031e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P08941"	"PGEN_.00g060450"	8.84204177760031e-05	1438	2246	1327	"sp|P08941|ROS1_CHICK"	19	844	2.05e-154	38.58	845	"ROS1_CHICK"	"Proto-oncogene tyrosine-protein kinase ROS (EC 2.7.10.1) (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)"	"ROS1"	"Gallus gallus (Chicken)"	"GO:0001558; GO:0002066; GO:0004713; GO:0004714; GO:0005524; GO:0005887; GO:0006468; GO:0007169; GO:0008283; GO:0030154; GO:0032006; GO:0043235; GO:0070372"
NA	"PGEN_.00g208340"	9.19016557932913e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g240010"	9.37419230071496e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q99666"	"PGEN_.00g259110"	9.43284136100204e-05	1	762	728	"sp|Q99666|RGPD5_HUMAN"	1	783	7.57e-76	28	800	"RGPD5_HUMAN"	"RANBP2-like and GRIP domain-containing protein 5/6 (Ran-binding protein 2-like 1/2) (RanBP2-like 1/2) (RanBP2L1) (RanBP2L2) (Sperm membrane protein BS-63)"	"RGPD5 RANBP2L1 RGP5 RGP7 RGPD7; RGPD6 RANBP2L2 RGP6"	"Homo sapiens (Human)"	"GO:0005634; GO:0005643; GO:0005737; GO:0006607; GO:0008536; GO:0043547"
"P56839"	"PGEN_.00g133110"	9.64702939394693e-05	1	295	1400	"sp|P56839|PEPM_MYTED"	41	338	0	86.913	298	"PEPM_MYTED"	"Phosphoenolpyruvate phosphomutase (PEP mutase) (PEP phosphomutase) (Phosphoenolpyruvate mutase) (EC 5.4.2.9)"	""	"Mytilus edulis (Blue mussel)"	"GO:0032923; GO:0046872; GO:0050188"
"Q9EQZ6"	"PGEN_.00g268760"	9.88071710603408e-05	144	274	327	"sp|Q9EQZ6|RPGF4_MOUSE"	1514	1636	5.09e-29	50	132	"RPGF4_MOUSE"	"Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-dependent Rap1 guanine-nucleotide exchange factor) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII)"	"Rapgef4 Cgef2 Epac2"	"Mus musculus (Mouse)"	"GO:0001750; GO:0001917; GO:0005085; GO:0005088; GO:0005829; GO:0005886; GO:0005903; GO:0005929; GO:0007165; GO:0007264; GO:0014069; GO:0014911; GO:0016323; GO:0016324; GO:0017016; GO:0017156; GO:0017157; GO:0019933; GO:0030073; GO:0030424; GO:0030425; GO:0030426; GO:0030552; GO:0032991; GO:0043025; GO:0043197; GO:0044316; GO:0044877; GO:0050714; GO:0050773; GO:0050805; GO:0060076; GO:0098686; GO:0098693; GO:0098696; GO:0098978; GO:0099175; GO:1904457"
"O88873"	"PGEN_.00g305680"	0.000112949844443365	106	336	306	"sp|O88873|GMEB2_RAT"	88	365	6.69e-29	27.66	282	"GMEB2_RAT"	"Glucocorticoid modulatory element-binding protein 2 (GMEB-2)"	"Gmeb2"	"Rattus norvegicus (Rat)"	"GO:0000978; GO:0000981; GO:0001228; GO:0003713; GO:0005634; GO:0005737; GO:0006357; GO:0043565; GO:0045944; GO:0046872"
"P49580"	"PGEN_.00g247270"	0.000113539092516844	60	332	439	"sp|P49580|ACHE_XENLA"	405	659	1.59e-45	35.036	274	"ACHE_XENLA"	"Acetylcholine receptor subunit epsilon"	"chrne"	"Xenopus laevis (African clawed frog)"	"GO:0004888; GO:0016021; GO:0022848; GO:0030054; GO:0045211"
"A1ZA47"	"PGEN_.00g043360"	0.000133872817970332	2012	2194	655	"sp|A1ZA47|ZASP_DROME"	334	516	2.8e-73	57.923	183	"ZASP_DROME"	"PDZ and LIM domain protein Zasp (Z band alternatively spliced PDZ-motif protein)"	"Zasp52 Zasp CG30084"	"Drosophila melanogaster (Fruit fly)"	"GO:0001725; GO:0001952; GO:0003779; GO:0005913; GO:0005915; GO:0005925; GO:0005927; GO:0015629; GO:0016323; GO:0030018; GO:0030036; GO:0030239; GO:0031252; GO:0031941; GO:0042805; GO:0045177; GO:0045178; GO:0046872; GO:0051371; GO:0061061"
"Q5SPX3"	"PGEN_.00g132650"	0.000133872817970332	141	372	373	"sp|Q5SPX3|RN215_MOUSE"	142	367	8.08e-40	34.728	239	"RN215_MOUSE"	"RING finger protein 215"	"Rnf215"	"Mus musculus (Mouse)"	"GO:0005634; GO:0005737; GO:0005770; GO:0005794; GO:0006511; GO:0016021; GO:0046872; GO:0051788; GO:0061630"
NA	"PGEN_.00g309570"	0.000133872817970332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O95490"	"PGEN_.00g059600"	0.000135629619917964	463	1134	607	"sp|O95490|AGRL2_HUMAN"	1884	2528	1.35e-61	27.714	700	"AGRL2_HUMAN"	"Adhesion G protein-coupled receptor L2 (Calcium-independent alpha-latrotoxin receptor 2) (CIRL-2) (Latrophilin homolog 1) (Latrophilin-2) (Lectomedin-1)"	"ADGRL2 KIAA0786 LEC1 LPHH1 LPHN2"	"Homo sapiens (Human)"	"GO:0004930; GO:0005887; GO:0007166; GO:0007186; GO:0007189; GO:0007420; GO:0016021; GO:0016524; GO:0030246; GO:0043005"
NA	"PGEN_.00g046010"	0.000135629619917964	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g252880"	0.000140028333470528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q7Z2W7"	"PGEN_.00g255220"	0.000140122998759216	39	1025	832	"sp|Q7Z2W7|TRPM8_HUMAN"	90	1127	1.85e-91	28.77	1081	"TRPM8_HUMAN"	"Transient receptor potential cation channel subfamily M member 8 (Long transient receptor potential channel 6) (LTrpC-6) (LTrpC6) (Transient receptor potential p8) (Trp-p8)"	"TRPM8 LTRPC6 TRPP8"	"Homo sapiens (Human)"	"GO:0005262; GO:0005623; GO:0005789; GO:0005886; GO:0006874; GO:0009409; GO:0009897; GO:0016021; GO:0016048; GO:0042802; GO:0045121; GO:0050955; GO:0070588; GO:0120162"
NA	"PGEN_.00g086030"	0.00014042834066212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g044020"	0.000159397060463946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q90Z05"	"PGEN_.00g111560"	0.000164580429371119	44	521	1123	"sp|Q90Z05|VNG2B_XENLA"	60	546	1.66e-147	51.116	493	"VNG2B_XENLA"	"Vang-like protein 2-B (Protein strabismus-B) (Van Gogh-like protein 2-B) (Xstrabismus-B) (Xstbm-B)"	"vangl2-b stbm-a"	"Xenopus laevis (African clawed frog)"	"GO:0001736; GO:0005886; GO:0007399; GO:0016021; GO:0016055; GO:0060027; GO:0090090"
NA	"PGEN_.00g278840"	0.000174655714476215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g201860"	0.00017740855534767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g234820"	0.000177517609291074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g082990"	0.000179463480426529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g097800"	0.000179463480426529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q27802"	"PGEN_.00g081000"	0.000183054902647888	5	2169	7517	"sp|Q27802|DYHC2_TRIGR"	4	2149	0	65.312	2165	"DYHC2_TRIGR"	"Cytoplasmic dynein 2 heavy chain 1 (Dynein heavy chain isotype 1B)"	"DYH1B"	"Tripneustes gratilla (Hawaian sea urchin) (Echinus gratilla)"	"GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005886; GO:0005929; GO:0007018; GO:0007275; GO:0030030; GO:0030286"
"P98169"	"PGEN_.00g167700"	0.000188748183406053	264	570	739	"sp|P98169|ZXDB_HUMAN"	502	803	1.1e-82	44.984	309	"ZXDB_HUMAN"	"Zinc finger X-linked protein ZXDB"	"ZXDB"	"Homo sapiens (Human)"	"GO:0003676; GO:0005634; GO:0046872"
NA	"PGEN_.00g141740"	0.000194050640016316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q93075"	"PGEN_.00g308970"	0.000202673331910409	494	759	256	"sp|Q93075|TATD2_HUMAN"	624	895	3e-21	28.374	289	"TATD2_HUMAN"	"Putative deoxyribonuclease TATDN2 (EC 3.1.21.-)"	"TATDN2 KIAA0218"	"Homo sapiens (Human)"	"GO:0005634; GO:0005654; GO:0016888; GO:0036498; GO:0046872"
NA	"PGEN_.00g126370"	0.000208220662489247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g074470"	0.000218391969418756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
